country_code,year,age,unemployment_rate,country_name
AUS,2000,Older (55–64),4.547109,Australia
AUS,2001,Older (55–64),4.575792,Australia
AUS,2002,Older (55–64),4.301957,Australia
AUS,2003,Older (55–64),3.777683,Australia
AUS,2004,Older (55–64),3.554188,Australia
AUS,2005,Older (55–64),3.379785,Australia
AUS,2006,Older (55–64),3.229604,Australia
AUS,2007,Older (55–64),2.740036,Australia
AUS,2008,Older (55–64),2.609846,Australia
AUS,2009,Older (55–64),3.342113,Australia
AUS,2010,Older (55–64),3.255515,Australia
AUS,2011,Older (55–64),3.328536,Australia
AUS,2012,Older (55–64),3.453936,Australia
AUS,2013,Older (55–64),3.827957,Australia
AUS,2014,Older (55–64),4.090223,Australia
AUS,2015,Older (55–64),4.254473,Australia
AUS,2016,Older (55–64),4.255997,Australia
AUS,2017,Older (55–64),4.07414,Australia
AUS,2018,Older (55–64),4.276509,Australia
AUS,2019,Older (55–64),3.961628,Australia
AUS,2020,Older (55–64),5.080298,Australia
AUS,2021,Older (55–64),4.166081,Australia
AUS,2022,Older (55–64),2.828284,Australia
AUS,2023,Older (55–64),2.799636,Australia
AUS,2024,Older (55–64),3.068029,Australia
AUS,2025,Older (55–64),3.318332,Australia
AUS,2000,Prime-age (25–54),5.045825,Australia
AUS,2001,Prime-age (25–54),5.303643,Australia
AUS,2002,Prime-age (25–54),5.039907,Australia
AUS,2003,Prime-age (25–54),4.713179,Australia
AUS,2004,Prime-age (25–54),4.140448,Australia
AUS,2005,Prime-age (25–54),3.86288,Australia
AUS,2006,Prime-age (25–54),3.691983,Australia
AUS,2007,Prime-age (25–54),3.387115,Australia
AUS,2008,Prime-age (25–54),3.364999,Australia
AUS,2009,Prime-age (25–54),4.5351,Australia
AUS,2010,Prime-age (25–54),4.043767,Australia
AUS,2011,Prime-age (25–54),3.936808,Australia
AUS,2012,Prime-age (25–54),4.053007,Australia
AUS,2013,Prime-age (25–54),4.555814,Australia
AUS,2014,Prime-age (25–54),4.841381,Australia
AUS,2015,Prime-age (25–54),4.870952,Australia
AUS,2016,Prime-age (25–54),4.502686,Australia
AUS,2017,Prime-age (25–54),4.417326,Australia
AUS,2018,Prime-age (25–54),4.12863,Australia
AUS,2019,Prime-age (25–54),3.996261,Australia
AUS,2020,Prime-age (25–54),5.154562,Australia
AUS,2021,Prime-age (25–54),4.103517,Australia
AUS,2022,Prime-age (25–54),2.94757,Australia
AUS,2023,Prime-age (25–54),2.815877,Australia
AUS,2024,Prime-age (25–54),3.019063,Australia
AUS,2025,Prime-age (25–54),3.186649,Australia
AUS,2000,Total (15–64),6.366036,Australia
AUS,2001,Total (15–64),6.824719,Australia
AUS,2002,Total (15–64),6.457993,Australia
AUS,2003,Total (15–64),6.009954,Australia
AUS,2004,Total (15–64),5.471944,Australia
AUS,2005,Total (15–64),5.109858,Australia
AUS,2006,Total (15–64),4.854198,Australia
AUS,2007,Total (15–64),4.451371,Australia
AUS,2008,Total (15–64),4.311629,Australia
AUS,2009,Total (15–64),5.674076,Australia
AUS,2010,Total (15–64),5.317926,Australia
AUS,2011,Total (15–64),5.199551,Australia
AUS,2012,Total (15–64),5.342953,Australia
AUS,2013,Total (15–64),5.804152,Australia
AUS,2014,Total (15–64),6.215402,Australia
AUS,2015,Total (15–64),6.219666,Australia
AUS,2016,Total (15–64),5.872317,Australia
AUS,2017,Total (15–64),5.773089,Australia
AUS,2018,Total (15–64),5.471675,Australia
AUS,2019,Total (15–64),5.315725,Australia
AUS,2020,Total (15–64),6.623846,Australia
AUS,2021,Total (15–64),5.287477,Australia
AUS,2022,Total (15–64),3.809491,Australia
