cmauid,name,unemployment,period
001,St. John's,7.0,2026-06
205,Halifax,5.6,2026-06
305,Moncton,7.9,2026-06
310,Saint John,5.5,2026-06
320,Fredericton,5.2,2026-06
408,Saguenay,3.4,2026-06
421,Québec,4.3,2026-06
433,Sherbrooke,4.7,2026-06
442,Trois-Rivières,5.6,2026-06
447,Drummondville,6.9,2026-06
462,Montréal,6.7,2026-06
505,Ottawa-Gatineau,6.7,2026-06
521,Kingston,5.8,2026-06
522,Belleville - Quinte West,6.7,2026-06
529,Peterborough,6.4,2026-06
532,Oshawa,8.5,2026-06
535,Toronto,7.2,2026-06
537,Hamilton,6.9,2026-06
539,St. Catharines-Niagara,6.3,2026-06
541,Kitchener-Cambridge-Waterloo,8.5,2026-06
543,Brantford,6.4,2026-06
550,Guelph,7.5,2026-06
555,London,8.2,2026-06
559,Windsor,8.0,2026-06
568,Barrie,8.2,2026-06
580,Greater Sudbury,6.4,2026-06
595,Thunder Bay,5.2,2026-06
602,Winnipeg,5.9,2026-06
705,Regina,5.9,2026-06
725,Saskatoon,6.5,2026-06
810,Lethbridge,5.5,2026-06
825,Calgary,7.1,2026-06
830,Red Deer,7.4,2026-06
835,Edmonton,7.2,2026-06
915,Kelowna,9.2,2026-06
925,Kamloops,6.5,2026-06
930,Chilliwack,8.0,2026-06
932,Abbotsford-Mission,8.3,2026-06
933,Vancouver,6.6,2026-06
935,Victoria,4.4,2026-06
938,Nanaimo,7.4,2026-06
