date,geography,product_group,cpi_value,inflation_yoy
1914-01-01,Canada,All-items,6.0,
1914-01-01,Canada,All-items (1992=100),7.2,
1914-02-01,Canada,All-items,6.0,
1914-02-01,Canada,All-items (1992=100),7.2,
1914-03-01,Canada,All-items,6.0,
1914-03-01,Canada,All-items (1992=100),7.2,
1914-04-01,Canada,All-items,6.0,
1914-04-01,Canada,All-items (1992=100),7.1,
1914-05-01,Canada,All-items,5.9,
1914-05-01,Canada,All-items (1992=100),7.0,
1914-06-01,Canada,All-items,6.0,
1914-06-01,Canada,All-items (1992=100),7.1,
1914-07-01,Canada,All-items,5.9,-1.6666666666666607
1914-07-01,Canada,All-items (1992=100),7.0,-2.777777777777779
1914-08-01,Canada,All-items (1992=100),7.2,19.999999999999996
1914-08-01,Canada,All-items,6.0,-16.666666666666675
1914-09-01,Canada,All-items,6.0,0.0
1914-09-01,Canada,All-items (1992=100),7.2,0.0
1914-10-01,Canada,All-items,6.1,1.6666666666666607
1914-10-01,Canada,All-items (1992=100),7.3,2.8169014084507005
1914-11-01,Canada,All-items,6.1,3.3898305084745672
1914-11-01,Canada,All-items (1992=100),7.3,4.285714285714293
1914-12-01,Canada,All-items,6.1,1.6666666666666607
1914-12-01,Canada,All-items (1992=100),7.3,2.8169014084507005
1915-01-01,Canada,All-items,6.1,3.3898305084745672
1915-01-01,Canada,All-items (1992=100),7.3,4.285714285714293
1915-02-01,Canada,All-items,6.1,-15.27777777777779
1915-02-01,Canada,All-items (1992=100),7.3,21.666666666666657
1915-03-01,Canada,All-items (1992=100),7.3,21.666666666666657
1915-03-01,Canada,All-items,6.1,-15.27777777777779
1915-04-01,Canada,All-items (1992=100),7.3,19.672131147540984
1915-04-01,Canada,All-items,6.1,-16.43835616438356
1915-05-01,Canada,All-items,6.1,0.0
1915-05-01,Canada,All-items (1992=100),7.3,0.0
1915-06-01,Canada,All-items,6.1,0.0
1915-06-01,Canada,All-items (1992=100),7.3,0.0
1915-07-01,Canada,All-items,6.1,0.0
1915-07-01,Canada,All-items (1992=100),7.3,0.0
1915-08-01,Canada,All-items,6.1,0.0
1915-08-01,Canada,All-items (1992=100),7.3,0.0
1915-09-01,Canada,All-items,6.1,-16.43835616438356
1915-09-01,Canada,All-items (1992=100),7.3,19.672131147540984
1915-10-01,Canada,All-items,6.1,-16.43835616438356
1915-10-01,Canada,All-items (1992=100),7.3,19.672131147540984
1915-11-01,Canada,All-items,6.3,3.2786885245901676
1915-11-01,Canada,All-items (1992=100),7.5,2.7397260273972712
1915-12-01,Canada,All-items (1992=100),7.5,22.95081967213115
1915-12-01,Canada,All-items,6.3,-13.698630136986301
1916-01-01,Canada,All-items,6.4,4.918032786885251
1916-01-01,Canada,All-items (1992=100),7.6,4.109589041095885
1916-02-01,Canada,All-items,6.5,6.557377049180335
1916-02-01,Canada,All-items (1992=100),7.7,5.47945205479452
1916-03-01,Canada,All-items,6.5,6.557377049180335
1916-03-01,Canada,All-items (1992=100),7.7,5.47945205479452
1916-04-01,Canada,All-items,6.5,6.557377049180335
1916-04-01,Canada,All-items (1992=100),7.7,5.47945205479452
