country_code,country_name,year,gdp
USA,United States,2024,28750956130731.2
CHN,China,2024,18743803170827.2
DEU,Germany,2024,4685592577804.69
JPN,Japan,2024,4027597523550.58
IND,India,2024,3909891533858.08
GBR,United Kingdom,2024,3686033044482.13
FRA,France,2024,3160442622465.08
ITA,Italy,2024,2380825077243.59
CAN,Canada,2024,2243636826633.76
BRA,Brazil,2024,2185821648943.86
RUS,Russian Federation,2024,2173835806671.66
KOR,"Korea, Rep.",2024,1875388209406.8
MEX,Mexico,2024,1856365616165.94
AUS,Australia,2024,1757022451652.83
ESP,Spain,2024,1725671652742.19
IDN,Indonesia,2024,1396300098190.97
TUR,Turkiye,2024,1359123768774.12
SAU,Saudi Arabia,2024,1239804533333.33
NLD,Netherlands,2024,1214927698572.66
CHE,Switzerland,2024,936564198048.516
POL,Poland,2024,917767106146.761
BEL,Belgium,2024,671370081636.406
ARG,Argentina,2024,638365455340.04
IRL,Ireland,2024,609157459747.205
SWE,Sweden,2024,603715224265.798
ARE,United Arab Emirates,2024,552324846834.581
SGP,Singapore,2024,547386645891.847
ISR,Israel,2024,540379921261.681
AUT,Austria,2024,534790720466.822
THA,Thailand,2024,526517658841.684
NOR,Norway,2024,483592648313.301
VNM,Viet Nam,2024,476388230307.175
IRN,"Iran, Islamic Rep.",2024,475252089215.416
PHL,Philippines,2024,461617509782.355
BGD,Bangladesh,2024,450119432068.852
DNK,Denmark,2024,424524722037.047
MYS,Malaysia,2024,422227005428.688
COL,Colombia,2024,418818154879.271
HKG,"Hong Kong SAR, China",2024,406863396487.342
ZAF,South Africa,2024,401144998373.585
EGY,"Egypt, Arab Rep.",2024,389059911003.566
ROU,Romania,2024,382564217988.866
PAK,Pakistan,2024,371570000121.266
CZE,Czechia,2024,347034062928.479
CHL,Chile,2024,330267137371.592
PRT,Portugal,2024,313271185085.102
FIN,Finland,2024,298696961297.656
KAZ,Kazakhstan,2024,291480274648.826
PER,Peru,2024,289221969062.941
IRQ,Iraq,2024,279641257615.385
DZA,Algeria,2024,269322281664.773
NZL,New Zealand,2024,260172385097.616
GRC,Greece,2024,256238371778.118
NGA,Nigeria,2024,252261880141.151
HUN,Hungary,2024,222722738925.641
QAT,Qatar,2024,219162637362.637
UKR,Ukraine,2024,190741262414.705
MAR,Morocco,2024,160610994054.734
KWT,Kuwait,2024,160227273053.334
ETH,Ethiopia,2024,149740297952.986
SVK,Slovak Republic,2024,140934076532.375
PRI,Puerto Rico (US),2024,126029527033.705
ECU,Ecuador,2024,124676074700.0
DOM,Dominican Republic,2024,124282245638.568
KEN,Kenya,2024,120339557905.932
VEN,"Venezuela, RB",2024,119802963257.783
UZB,Uzbekistan,2024,114965293466.611
BGR,Bulgaria,2024,113343355779.985
GTM,Guatemala,2024,113199581158.203
CUB,Cuba,2020,107352000000.0
OMN,Oman,2024,107137198769.386
AGO,Angola,2024,100998916781.079
LKA,Sri Lanka,2024,98963185509.6499
CRI,Costa Rica,2024,95350423176.5962
LUX,Luxembourg,2024,93279851863.4062
HRV,Croatia,2024,92983810328.9088
SRB,Serbia,2024,90097765959.1114
CIV,Cote d'Ivoire,2024,87113179149.284
PAN,Panama,2024,86523959131.7472
LTU,Lithuania,2024,84869215513.3648
GHA,Ghana,2024,82308110386.4641
URY,Uruguay,2024,80961511073.5797
TZA,Tanzania,2024,78844405385.2195
BLR,Belarus,2024,75961865471.9129
AZE,Azerbaijan,2024,74315882352.9412
MMR,Myanmar,2024,74068349523.8095
SVN,Slovenia,2024,72972015197.3859
COD,"Congo, Dem. Rep.",2024,70962185790.7094
BOL,Bolivia,2024,54881327452.9667
UGA,Uganda,2024,53911907086.1525
JOR,Jordan,2024,53352289577.4648
CMR,Cameroon,2024,53296694320.2057
TKM,Turkmenistan,2024,51387209872.2994
TUN,Tunisia,2024,51332285656.5422
SDN,Sudan,2024,49672435513.1126
MAC,"Macao SAR, China",2024,49467258923.3244
LBY,Libya,2024,48487151215.345
BHR,Bahrain,2024,47109734308.5106
KHM,Cambodia,2024,46352647037.2406
PRY,Paraguay,2024,44458118397.4445
LVA,Latvia,2024,43684254432.3609
EST,Estonia,2024,43130419829.35
NPL,Nepal,2024,42914268286.7109
ZWE,Zimbabwe,2024,41539411516.4448
CYP,Cyprus,2024,37634533331.8902
HND,Honduras,2024,37093565854.0437
SLV,El Salvador,2024,35364960000.0
GEO,Georgia,2024,34189423544.9955
ISL,Iceland,2024,33255181468.9382
SEN,Senegal,2024,32808056600.9436
PNG,Papua New Guinea,2024,31800428265.5246
BIH,Bosnia and Herzegovina,2024,29613572022.8993
ALB,Albania,2024,27046429296.6673
MLI,Mali,2024,26794747239.8805
ARM,Armenia,2024,25955275380.0321
TTO,Trinidad and Tobago,2024,25633544529.4849
ZMB,Zambia,2024,25303185342.2511
HTI,Haiti,2024,25224154990.7946
GIN,Guinea,2024,25008678293.4084
MLT,Malta,2024,24971574502.4475
GUY,Guyana,2024,24662709832.1343
MNG,Mongolia,2024,23794540024.5132
SYR,Syrian Arab Republic,2022,23622827079.5047
BFA,Burkina Faso,2024,23124729853.0218
MOZ,Mozambique,2024,22745341305.0622
JAM,Jamaica,2024,22014397089.7689
YEM,"Yemen, Rep.",2018,21606160663.0318
BEN,Benin,2024,21482643706.4249
GAB,Gabon,2024,20895684425.6752
LBN,Lebanon,2023,20078620356.9931
NER,Niger,2024,19876128485.7857
NIC,Nicaragua,2024,19693982967.5926
TCD,Chad,2024,19518819751.283
BWA,Botswana,2024,19402063512.9066
MDA,Moldova,2024,18200340853.6517
KGZ,Kyrgyz Republic,2024,17478259659.2625
MDG,Madagascar,2024,17420501490.1231
AFG,Afghanistan,2023,17152234636.8715
MKD,North Macedonia,2024,16951682245.4202
LAO,Lao PDR,2024,16502933121.3379
BHS,"Bahamas, The",2024,15832800000.0
COG,"Congo, Rep.",2024,15719986076.6464
BRN,Brunei Darussalam,2024,15340808592.48
MUS,Mauritius,2024,14937861786.17
RWA,Rwanda,2024,14251642235.0968
TJK,Tajikistan,2024,14204575548.5536
PSE,West Bank and Gaza,2024,13711100000.0
NAM,Namibia,2024,13372354511.716
GNQ,Equatorial Guinea,2024,12765777677.0622
CHI,Channel Islands,2023,12507320838.3932
SSD,South Sudan,2015,11997800760.2242
SOM,"Somalia, Fed. Rep.",2024,11967000000.0
MWI,Malawi,2024,11316411329.4619
XKX,Kosovo,2024,11197246322.588
MCO,Monaco,2024,11125783372.4794
MRT,Mauritania,2024,10908045686.8808
TGO,Togo,2024,10651180146.531
BMU,Bermuda,2024,9233600000.0
NCL,New Caledonia,2024,8548919387.12607
MNE,Montenegro,2024,8270016670.86774
LIE,Liechtenstein,2023,8239379403.22096
BRB,Barbados,2024,7498050000.0
IMN,Isle of Man,2022,7431257410.92713
CYM,Cayman Islands,2023,7241244269.45972
MDV,Maldives,2024,7061608267.25451
SLE,Sierra Leone,2024,6971127235.3123
GUM,Guam,2022,6910000000.0
PYF,French Polynesia,2024,6323716355.05009
FJI,Fiji,2024,5968125909.27126
SWZ,Eswatini,2024,4858885840.77236
LBR,Liberia,2024,4779300900.0
VIR,Virgin Islands (U.S.),2022,4672000000.0
SUR,Suriname,2024,4416775112.09627
ABW,Aruba,2024,4265650673.00236
DJI,Djibouti,2024,4152145939.98458
FRO,Faroe Islands,2024,4052937169.76536
AND,Andorra,2024,4039842405.48117
CUW,Curacao,2024,3561178196.20713
GRL,Greenland,2023,3326543974.39193
BLZ,Belize,2024,3203631800.0
BDI,Burundi,2024,3082433067.32634
BTN,Bhutan,2023,3012896789.24928
CAF,Central African Republic,2024,2751494281.06887
CPV,Cabo Verde,2024,2725414150.72735
LCA,St. Lucia,2024,2549062962.96296
GMB,"Gambia, The",2024,2404888749.21907
LSO,Lesotho,2024,2271759454.51107
GNB,Guinea-Bissau,2024,2218393804.54798
ATG,Antigua and Barbuda,2024,2207622874.07407
SYC,Seychelles,2024,2167239562.46013
ERI,Eritrea,2011,2065001626.01626
SMR,San Marino,2023,2027527227.831
TLS,Timor-Leste,2024,1865608515.41321
SXM,Sint Maarten (Dutch part),2024,1797836665.95136
TCA,Turks and Caicos Islands,2024,1745378000.0
SLB,Solomon Islands,2024,1583964703.75061
COM,Comoros,2024,1440991455.45188
GRD,Grenada,2024,1371918518.51852
WSM,Samoa,2024,1175749785.65113
VCT,St. Vincent and the Grenadines,2024,1157207407.40741
KNA,St. Kitts and Nevis,2024,1122388888.88889
VUT,Vanuatu,2024,1117972034.22642
MNP,Northern Mariana Islands,2022,1096000000.0
ASM,American Samoa,2022,871000000.0
STP,Sao Tome and Principe,2024,822154621.088897
DMA,Dominica,2024,688881481.481481
MAF,St. Martin (French part),2021,649206262.847519
TON,Tonga,2023,591139749.44287
FSM,"Micronesia, Fed. Sts.",2024,471425099.488675
KIR,Kiribati,2024,307862564.489711
MHL,Marshall Islands,2024,290108489.990234
PLW,Palau,2023,276733062.744141
NRU,Nauru,2024,162588620.632234
TUV,Tuvalu,2023,62280311.5852172
