year,geo,age_group,tertiary_pct
2000,Canada,25–34,48.0
2001,Canada,25–34,51.0
2002,Canada,25–34,52.0
2003,Canada,25–34,53.0
2004,Canada,25–34,53.0
2005,Canada,25–34,54.0
2006,Canada,25–34,55.0
2007,Canada,25–34,56.0
2008,Canada,25–34,56.0
2009,Canada,25–34,56.0
2010,Canada,25–34,57.0
2011,Canada,25–34,57.0
2012,Canada,25–34,57.0
2013,Canada,25–34,58.0
2014,Canada,25–34,58.0
2015,Canada,25–34,59.0
2016,Canada,25–34,61.0
2017,Canada,25–34,61.0
2018,Canada,25–34,62.0
2019,Canada,25–34,63.0
2020,Canada,25–34,64.0
2021,Canada,25–34,66.0
2022,Canada,25–34,67.0
2023,Canada,25–34,67.0
2024,Canada,25–34,69.0
2025,Canada,25–34,68.0
2000,Canada,25–64 (all),40.0
2001,Canada,25–64 (all),42.0
2002,Canada,25–64 (all),43.0
2003,Canada,25–64 (all),44.0
2004,Canada,25–64 (all),45.0
2005,Canada,25–64 (all),46.0
2006,Canada,25–64 (all),47.0
2007,Canada,25–64 (all),48.0
2008,Canada,25–64 (all),49.0
2009,Canada,25–64 (all),49.0
2010,Canada,25–64 (all),50.0
2011,Canada,25–64 (all),51.0
2012,Canada,25–64 (all),52.0
2013,Canada,25–64 (all),53.0
2014,Canada,25–64 (all),53.0
2015,Canada,25–64 (all),55.0
2016,Canada,25–64 (all),56.0
2017,Canada,25–64 (all),56.0
2018,Canada,25–64 (all),58.0
2019,Canada,25–64 (all),59.0
2020,Canada,25–64 (all),60.0
2021,Canada,25–64 (all),62.0
2022,Canada,25–64 (all),63.0
2023,Canada,25–64 (all),63.0
2024,Canada,25–64 (all),65.0
2025,Canada,25–64 (all),64.0
2000,Canada,35–44,41.0
2001,Canada,35–44,43.0
2002,Canada,35–44,44.0
2003,Canada,35–44,46.0
2004,Canada,35–44,47.0
2005,Canada,35–44,49.0
2006,Canada,35–44,51.0
2007,Canada,35–44,52.0
2008,Canada,35–44,54.0
2009,Canada,35–44,55.0
2010,Canada,35–44,56.0
2011,Canada,35–44,57.0
2012,Canada,35–44,58.0
2013,Canada,35–44,60.0
2014,Canada,35–44,60.0
2015,Canada,35–44,62.0
2016,Canada,35–44,62.0
2017,Canada,35–44,63.0
2018,Canada,35–44,63.0
2019,Canada,35–44,64.0
2020,Canada,35–44,65.0
2021,Canada,35–44,67.0
2022,Canada,35–44,67.0
2023,Canada,35–44,68.0
2024,Canada,35–44,69.0
2025,Canada,35–44,67.0
2000,Canada,45–54,39.0
2001,Canada,45–54,40.0
2002,Canada,45–54,41.0
2003,Canada,45–54,41.0
2004,Canada,45–54,41.0
2005,Canada,45–54,43.0
2006,Canada,45–54,43.0
2007,Canada,45–54,44.0
2008,Canada,45–54,44.0
2009,Canada,45–54,45.0
2010,Canada,45–54,46.0
2011,Canada,45–54,48.0
2012,Canada,45–54,49.0
2013,Canada,45–54,50.0
2014,Canada,45–54,51.0
2015,Canada,45–54,53.0
2016,Canada,45–54,55.0
2017,Canada,45–54,56.0
2018,Canada,45–54,58.0
2019,Canada,45–54,60.0
2020,Canada,45–54,60.0
2021,Canada,45–54,63.0
2022,Canada,45–54,64.0
2023,Canada,45–54,64.0
2024,Canada,45–54,65.0
2025,Canada,45–54,65.0
2000,Canada,55–64,28.0
2001,Canada,55–64,30.0
2002,Canada,55–64,32.0
2003,Canada,55–64,34.0
2004,Canada,55–64,35.0
2005,Canada,55–64,36.0
2006,Canada,55–64,37.0
2007,Canada,55–64,39.0
2008,Canada,55–64,40.0
2009,Canada,55–64,40.0
2010,Canada,55–64,42.0
2011,Canada,55–64,42.0
2012,Canada,55–64,44.0
2013,Canada,55–64,44.0
2014,Canada,55–64,45.0
2015,Canada,55–64,45.0
2016,Canada,55–64,46.0
2017,Canada,55–64,46.0
2018,Canada,55–64,47.0
2019,Canada,55–64,49.0
2020,Canada,55–64,50.0
2021,Canada,55–64,51.0
2022,Canada,55–64,53.0
2023,Canada,55–64,54.0
2024,Canada,55–64,55.0
2025,Canada,55–64,55.0
2000,OECD average,25–34,26.0
2001,OECD average,25–34,27.0
2002,OECD average,25–34,28.0
2003,OECD average,25–34,30.0
2004,OECD average,25–34,30.0
2005,OECD average,25–34,32.0
2006,OECD average,25–34,33.0
2007,OECD average,25–34,34.0
2008,OECD average,25–34,35.0
2009,OECD average,25–34,36.0
2010,OECD average,25–34,37.0
2011,OECD average,25–34,38.0
2012,OECD average,25–34,40.0
2013,OECD average,25–34,40.0
2014,OECD average,25–34,41.0
2015,OECD average,25–34,41.0
2016,OECD average,25–34,43.0
2017,OECD average,25–34,43.0
2018,OECD average,25–34,44.0
2019,OECD average,25–34,45.0
2020,OECD average,25–34,46.0
2021,OECD average,25–34,47.0
2022,OECD average,25–34,47.0
2023,OECD average,25–34,48.0
2000,OECD average,25–64 (all),22.0
2001,OECD average,25–64 (all),22.0
2002,OECD average,25–64 (all),23.0
