city,pollutant,unit,year,value,n_stations
Abbotsford,CO,ppm,2005,0.34,1
Abbotsford,CO,ppm,2006,0.33,1
Abbotsford,CO,ppm,2007,0.29,1
Abbotsford,CO,ppm,2008,0.29,1
Abbotsford,CO,ppm,2009,0.26,1
Abbotsford,CO,ppm,2010,0.23,1
Abbotsford,CO,ppm,2011,0.22,1
Abbotsford,CO,ppm,2012,0.22,1
Abbotsford,CO,ppm,2013,0.2,2
Abbotsford,CO,ppm,2014,0.19,2
Abbotsford,CO,ppm,2015,0.21,2
Abbotsford,CO,ppm,2016,0.18,2
Abbotsford,CO,ppm,2017,0.18,2
Abbotsford,CO,ppm,2018,0.18,2
Abbotsford,CO,ppm,2019,0.17,2
Abbotsford,CO,ppm,2020,0.18,2
Abbotsford,CO,ppm,2021,0.13,1
Abbotsford,CO,ppm,2022,0.14,1
Abbotsford,CO,ppm,2023,0.17,1
Abbotsford,CO,ppm,2024,0.18,1
Calgary,CO,ppm,2005,0.42,3
Calgary,CO,ppm,2006,0.39,3
Calgary,CO,ppm,2007,0.34,3
Calgary,CO,ppm,2008,0.33,2
Calgary,CO,ppm,2009,0.28,3
Calgary,CO,ppm,2010,0.29,3
Calgary,CO,ppm,2011,0.23,2
Calgary,CO,ppm,2012,0.23,2
Calgary,CO,ppm,2013,0.21,2
Calgary,CO,ppm,2014,0.23,2
Calgary,CO,ppm,2015,0.21,2
Calgary,CO,ppm,2016,0.19,3
Calgary,CO,ppm,2017,0.2,2
Calgary,CO,ppm,2018,0.27,2
Calgary,CO,ppm,2019,0.22,3
Calgary,CO,ppm,2020,0.21,3
Calgary,CO,ppm,2021,0.22,3
Calgary,CO,ppm,2022,0.2,3
Calgary,CO,ppm,2023,0.26,3
Calgary,CO,ppm,2024,0.24,3
Edmonton,CO,ppm,2005,0.39,3
Edmonton,CO,ppm,2006,0.31,3
Edmonton,CO,ppm,2007,0.3,3
Edmonton,CO,ppm,2008,0.29,3
Edmonton,CO,ppm,2009,0.25,3
Edmonton,CO,ppm,2010,0.31,3
Edmonton,CO,ppm,2011,0.24,3
Edmonton,CO,ppm,2012,0.24,3
Edmonton,CO,ppm,2013,0.19,3
Edmonton,CO,ppm,2014,0.23,3
Edmonton,CO,ppm,2015,0.22,3
Edmonton,CO,ppm,2016,0.23,3
Edmonton,CO,ppm,2017,0.26,3
Edmonton,CO,ppm,2018,0.26,3
Edmonton,CO,ppm,2019,0.25,3
Edmonton,CO,ppm,2020,0.22,3
Edmonton,CO,ppm,2021,0.24,3
Edmonton,CO,ppm,2022,0.2,3
Edmonton,CO,ppm,2023,0.29,3
Edmonton,CO,ppm,2024,0.25,3
Fredericton,CO,ppm,2005,0.14,1
Fredericton,CO,ppm,2006,0.21,1
Fredericton,CO,ppm,2007,0.2,1
Fredericton,CO,ppm,2008,0.13,1
Fredericton,CO,ppm,2010,0.12,1
Fredericton,CO,ppm,2011,0.23,1
Fredericton,CO,ppm,2012,0.09,1
Fredericton,CO,ppm,2013,0.24,1
Fredericton,CO,ppm,2014,0.22,1
Fredericton,CO,ppm,2015,0.23,1
Fredericton,CO,ppm,2016,0.21,1
Halifax,CO,ppm,2006,0.03,1
Halifax,CO,ppm,2011,0.16,1
Halifax,CO,ppm,2012,0.18,1
Halifax,CO,ppm,2013,0.24,1
Halifax,CO,ppm,2015,0.2,1
Halifax,CO,ppm,2016,0.18,1
Halifax,CO,ppm,2017,0.12,1
Halifax,CO,ppm,2018,0.16,1
Halifax,CO,ppm,2019,0.12,1
Halifax,CO,ppm,2020,0.11,1
Halifax,CO,ppm,2021,0.09,1
Halifax,CO,ppm,2022,0.13,1
Halifax,CO,ppm,2023,0.16,1
Halifax,CO,ppm,2024,0.13,1
Hamilton,CO,ppm,2005,0.31,1
Hamilton,CO,ppm,2006,0.33,1
Hamilton,CO,ppm,2007,0.22,1
Hamilton,CO,ppm,2008,0.19,1
Hamilton,CO,ppm,2009,0.2,1
Hamilton,CO,ppm,2010,0.23,1
