country_code,year,co2_index,country_name
AUS,1990,77.55,Australia
AUS,1991,78.0,Australia
AUS,1992,79.2,Australia
AUS,1993,80.37,Australia
AUS,1994,82.15,Australia
AUS,1995,85.26,Australia
AUS,1996,88.22,Australia
AUS,1997,90.57,Australia
AUS,1998,96.44,Australia
AUS,1999,98.25,Australia
AUS,2000,100.0,Australia
AUS,2001,101.89,Australia
AUS,2002,104.23,Australia
AUS,2003,104.11,Australia
AUS,2004,108.11,Australia
AUS,2005,108.86,Australia
AUS,2006,110.44,Australia
AUS,2007,113.49,Australia
AUS,2008,114.47,Australia
AUS,2009,116.43,Australia
AUS,2010,117.12,Australia
AUS,2011,116.55,Australia
AUS,2012,116.75,Australia
AUS,2013,114.68,Australia
AUS,2014,111.82,Australia
AUS,2015,113.15,Australia
AUS,2016,115.39,Australia
AUS,2017,115.85,Australia
AUS,2018,115.33,Australia
AUS,2019,114.5,Australia
AUS,2020,110.31,Australia
AUS,2021,107.85,Australia
AUS,2022,106.04,Australia
AUS,2023,106.21,Australia
AUS,2024,104.17,Australia
AUT,1990,90.97,Austria
AUT,1991,97.73,Austria
AUT,1992,89.87,Austria
AUT,1993,90.21,Austria
AUT,1994,90.88,Austria
AUT,1995,96.33,Austria
AUT,1996,102.33,Austria
AUT,1997,101.03,Austria
AUT,1998,102.02,Austria
AUT,1999,99.39,Austria
AUT,2000,100.0,Austria
AUT,2001,107.07,Austria
AUT,2002,109.4,Austria
AUT,2003,117.61,Austria
AUT,2004,119.71,Austria
AUT,2005,120.41,Austria
AUT,2006,116.7,Austria
AUT,2007,111.8,Austria
AUT,2008,110.96,Austria
AUT,2009,101.29,Austria
AUT,2010,110.54,Austria
AUT,2011,107.74,Austria
AUT,2012,102.61,Austria
AUT,2013,103.68,Austria
AUT,2014,97.72,Austria
AUT,2015,99.56,Austria
AUT,2016,100.23,Austria
AUT,2017,103.77,Austria
AUT,2018,99.16,Austria
AUT,2019,101.53,Austria
AUT,2020,92.79,Austria
AUT,2021,96.99,Austria
AUT,2022,91.68,Austria
AUT,2023,85.38,Austria
AUT,2024,83.82,Austria
BEL,1990,93.41,Belgium
BEL,1991,97.44,Belgium
BEL,1992,95.82,Belgium
BEL,1993,93.88,Belgium
BEL,1994,98.0,Belgium
BEL,1995,97.64,Belgium
BEL,1996,102.14,Belgium
BEL,1997,99.53,Belgium
BEL,1998,101.96,Belgium
BEL,1999,98.59,Belgium
BEL,2000,100.0,Belgium
BEL,2001,101.21,Belgium
BEL,2002,94.61,Belgium
BEL,2003,98.74,Belgium
BEL,2004,96.94,Belgium
BEL,2005,94.76,Belgium
