country_code,year,renewables_pct,country_name
AUS,1990,5.89,Australia
AUS,1991,6.1,Australia
AUS,1992,5.45,Australia
AUS,1993,6.01,Australia
AUS,1994,5.9,Australia
AUS,1995,5.98,Australia
AUS,1996,6.17,Australia
AUS,1997,6.32,Australia
AUS,1998,5.95,Australia
AUS,1999,5.9,Australia
AUS,2000,5.88,Australia
AUS,2001,6.13,Australia
AUS,2002,6.32,Australia
AUS,2003,5.98,Australia
AUS,2004,5.8,Australia
AUS,2005,5.69,Australia
AUS,2006,5.63,Australia
AUS,2007,5.64,Australia
AUS,2008,5.58,Australia
AUS,2009,4.4,Australia
AUS,2010,5.26,Australia
AUS,2011,5.43,Australia
AUS,2012,5.48,Australia
AUS,2013,5.98,Australia
AUS,2014,6.24,Australia
AUS,2015,6.32,Australia
AUS,2016,6.56,Australia
AUS,2017,7.07,Australia
AUS,2018,7.14,Australia
AUS,2019,7.15,Australia
AUS,2020,7.49,Australia
AUS,2021,8.54,Australia
AUS,2022,9.42,Australia
AUS,2023,9.97,Australia
AUS,2024,10.09,Australia
AUT,1990,20.25,Austria
AUT,1991,19.81,Austria
AUT,1992,21.57,Austria
AUT,1993,22.46,Austria
AUT,1994,21.84,Austria
AUT,1995,21.97,Austria
AUT,1996,20.49,Austria
AUT,1997,20.86,Austria
AUT,1998,20.66,Austria
AUT,1999,23.14,Austria
AUT,2000,22.98,Austria
AUT,2001,22.03,Austria
AUT,2002,21.26,Austria
AUT,2003,18.72,Austria
AUT,2004,19.76,Austria
AUT,2005,21.12,Austria
AUT,2006,22.44,Austria
AUT,2007,24.62,Austria
AUT,2008,25.44,Austria
AUT,2009,28.27,Austria
AUT,2010,27.42,Austria
AUT,2011,26.96,Austria
AUT,2012,30.7,Austria
AUT,2013,30.11,Austria
AUT,2014,30.68,Austria
AUT,2015,29.85,Austria
AUT,2016,30.34,Austria
AUT,2017,29.84,Austria
AUT,2018,29.44,Austria
AUT,2019,30.06,Austria
AUT,2020,31.91,Austria
AUT,2021,31.16,Austria
AUT,2022,31.49,Austria
AUT,2023,35.45,Austria
AUT,2024,37.94,Austria
BEL,1990,1.0,Belgium
BEL,1991,0.97,Belgium
BEL,1992,0.95,Belgium
BEL,1993,0.83,Belgium
BEL,1994,0.77,Belgium
BEL,1995,0.99,Belgium
BEL,1996,0.94,Belgium
BEL,1997,0.92,Belgium
BEL,1998,0.99,Belgium
BEL,1999,1.06,Belgium
BEL,2000,1.1,Belgium
BEL,2001,1.22,Belgium
BEL,2002,1.28,Belgium
BEL,2003,1.49,Belgium
BEL,2004,1.66,Belgium
BEL,2005,2.01,Belgium
BEL,2006,2.38,Belgium
BEL,2007,2.84,Belgium
BEL,2008,3.31,Belgium
BEL,2009,4.1,Belgium
BEL,2010,4.93,Belgium
BEL,2011,5.32,Belgium
BEL,2012,6.29,Belgium
BEL,2013,6.43,Belgium
BEL,2014,6.49,Belgium
BEL,2015,7.01,Belgium
BEL,2016,7.04,Belgium
BEL,2017,7.34,Belgium
BEL,2018,7.8,Belgium
BEL,2019,7.8,Belgium
BEL,2020,9.47,Belgium
BEL,2021,8.83,Belgium
BEL,2022,10.03,Belgium
BEL,2023,10.91,Belgium
BEL,2024,10.14,Belgium
CAN,1990,17.29,Canada
CAN,1991,17.81,Canada
CAN,1992,17.76,Canada
CAN,1993,17.48,Canada
CAN,1994,17.73,Canada
CAN,1995,17.9,Canada
CAN,1996,18.01,Canada
CAN,1997,17.63,Canada
CAN,1998,17.33,Canada
CAN,1999,17.63,Canada
CAN,2000,17.12,Canada
CAN,2001,16.11,Canada
CAN,2002,17.01,Canada
CAN,2003,15.78,Canada
CAN,2004,16.07,Canada
CAN,2005,16.4,Canada
CAN,2006,15.68,Canada
CAN,2007,16.32,Canada
CAN,2008,16.68,Canada
CAN,2009,17.04,Canada
CAN,2010,16.39,Canada
CAN,2011,17.08,Canada
CAN,2012,17.28,Canada
CAN,2013,17.99,Canada
CAN,2014,17.51,Canada
CAN,2015,17.51,Canada
CAN,2016,17.03,Canada
CAN,2017,16.88,Canada
CAN,2018,16.39,Canada
CAN,2019,16.0,Canada
CAN,2020,16.95,Canada
CAN,2021,17.05,Canada
CAN,2022,17.37,Canada
CAN,2023,16.46,Canada
CAN,2024,16.11,Canada
CHE,1990,14.67,Switzerland
CHE,1991,15.56,Switzerland
CHE,1992,15.72,Switzerland
CHE,1993,17.17,Switzerland
CHE,1994,18.07,Switzerland
CHE,1995,17.02,Switzerland
CHE,1996,14.82,Switzerland
CHE,1997,16.06,Switzerland
CHE,1998,15.84,Switzerland
CHE,1999,18.29,Switzerland
CHE,2000,17.39,Switzerland
CHE,2001,18.03,Switzerland
CHE,2002,16.45,Switzerland
CHE,2003,16.43,Switzerland
CHE,2004,16.06,Switzerland
CHE,2005,15.56,Switzerland
CHE,2006,15.06,Switzerland
CHE,2007,17.3,Switzerland
CHE,2008,17.64,Switzerland
CHE,2009,17.58,Switzerland
CHE,2010,18.67,Switzerland
CHE,2011,17.7,Switzerland
CHE,2012,20.23,Switzerland
CHE,2013,19.75,Switzerland
CHE,2014,20.51,Switzerland
CHE,2015,21.55,Switzerland
CHE,2016,21.51,Switzerland
CHE,2017,21.7,Switzerland
CHE,2018,21.89,Switzerland
CHE,2019,22.83,Switzerland
CHE,2020,24.1,Switzerland
CHE,2021,24.96,Switzerland
CHE,2022,22.1,Switzerland
CHE,2023,26.06,Switzerland
CHE,2024,30.25,Switzerland
DEU,1990,1.51,Germany
DEU,1991,1.47,Germany
DEU,1992,1.59,Germany
DEU,1993,1.64,Germany
DEU,1994,1.74,Germany
DEU,1995,1.78,Germany
DEU,1996,1.77,Germany
DEU,1997,2.07,Germany
DEU,1998,2.24,Germany
DEU,1999,2.38,Germany
DEU,2000,2.67,Germany
DEU,2001,2.78,Germany
DEU,2002,3.18,Germany
DEU,2003,4.07,Germany
DEU,2004,4.7,Germany
DEU,2005,5.48,Germany
DEU,2006,6.49,Germany
DEU,2007,7.91,Germany
DEU,2008,8.12,Germany
DEU,2009,8.65,Germany
DEU,2010,9.33,Germany
DEU,2011,10.2,Germany
DEU,2012,11.37,Germany
DEU,2013,11.47,Germany
DEU,2014,11.92,Germany
DEU,2015,12.64,Germany
DEU,2016,12.53,Germany
DEU,2017,13.32,Germany
DEU,2018,13.96,Germany
DEU,2019,14.85,Germany
DEU,2020,16.37,Germany
DEU,2021,15.79,Germany
DEU,2022,17.48,Germany
DEU,2023,19.33,Germany
DEU,2024,20.33,Germany
DNK,1990,5.94,Denmark
DNK,1991,5.85,Denmark
DNK,1992,6.47,Denmark
DNK,1993,6.59,Denmark
DNK,1994,6.34,Denmark
DNK,1995,6.69,Denmark
DNK,1996,6.26,Denmark
DNK,1997,7.26,Denmark
DNK,1998,7.73,Denmark
DNK,1999,8.49,Denmark
DNK,2000,9.64,Denmark
DNK,2001,10.16,Denmark
DNK,2002,11.01,Denmark
DNK,2003,12.0,Denmark
DNK,2004,13.72,Denmark
DNK,2005,15.04,Denmark
DNK,2006,14.25,Denmark
DNK,2007,16.18,Denmark
DNK,2008,16.65,Denmark
DNK,2009,17.58,Denmark
DNK,2010,19.97,Denmark
DNK,2011,22.23,Denmark
DNK,2012,24.12,Denmark
DNK,2013,24.79,Denmark
DNK,2014,27.56,Denmark
DNK,2015,29.39,Denmark
DNK,2016,29.87,Denmark
DNK,2017,32.99,Denmark
DNK,2018,32.71,Denmark
DNK,2019,35.51,Denmark
DNK,2020,38.11,Denmark
DNK,2021,41.0,Denmark
DNK,2022,42.55,Denmark
DNK,2023,44.8,Denmark
DNK,2024,47.26,Denmark
FIN,1990,19.34,Finland
FIN,1991,18.47,Finland
FIN,1992,19.83,Finland
FIN,1993,19.86,Finland
FIN,1994,19.07,Finland
FIN,1995,21.19,Finland
FIN,1996,19.81,Finland
FIN,1997,20.91,Finland
FIN,1998,22.25,Finland
FIN,1999,22.35,Finland
FIN,2000,23.93,Finland
FIN,2001,22.52,Finland
FIN,2002,22.27,Finland
FIN,2003,21.26,Finland
FIN,2004,23.26,Finland
FIN,2005,23.51,Finland
FIN,2006,23.22,Finland
FIN,2007,23.49,Finland
FIN,2008,25.72,Finland
FIN,2009,23.95,Finland
FIN,2010,25.41,Finland
FIN,2011,25.88,Finland
FIN,2012,29.34,Finland
FIN,2013,29.54,Finland
FIN,2014,30.12,Finland
FIN,2015,32.33,Finland
FIN,2016,31.62,Finland
FIN,2017,33.6,Finland
FIN,2018,33.78,Finland
FIN,2019,34.91,Finland
FIN,2020,36.06,Finland
FIN,2021,39.07,Finland
FIN,2022,38.39,Finland
FIN,2023,38.05,Finland
FIN,2024,39.81,Finland
FRA,1990,6.76,France
FRA,1991,7.2,France
FRA,1992,7.61,France
FRA,1993,7.16,France
FRA,1994,7.52,France
FRA,1995,7.13,France
FRA,1996,6.84,France
FRA,1997,6.61,France
FRA,1998,6.37,France
FRA,1999,6.57,France
FRA,2000,6.2,France
FRA,2001,6.32,France
FRA,2002,5.71,France
FRA,2003,5.73,France
FRA,2004,5.74,France
FRA,2005,5.73,France
FRA,2006,5.69,France
FRA,2007,6.23,France
FRA,2008,6.98,France
FRA,2009,7.36,France
FRA,2010,7.94,France
FRA,2011,7.12,France
FRA,2012,8.33,France
FRA,2013,9.23,France
FRA,2014,8.95,France
FRA,2015,9.06,France
FRA,2016,9.91,France
FRA,2017,9.74,France
FRA,2018,10.58,France
FRA,2019,10.83,France
FRA,2020,11.96,France
FRA,2021,11.65,France
FRA,2022,12.59,France
FRA,2023,13.65,France
FRA,2024,14.03,France
GBR,1990,0.5,United Kingdom
GBR,1991,0.48,United Kingdom
GBR,1992,0.64,United Kingdom
GBR,1993,0.63,United Kingdom
GBR,1994,0.82,United Kingdom
GBR,1995,0.85,United Kingdom
GBR,1996,0.79,United Kingdom
GBR,1997,0.89,United Kingdom
GBR,1998,0.94,United Kingdom
GBR,1999,0.96,United Kingdom
GBR,2000,1.02,United Kingdom
GBR,2001,1.02,United Kingdom
GBR,2002,1.14,United Kingdom
GBR,2003,1.2,United Kingdom
GBR,2004,1.46,United Kingdom
GBR,2005,1.75,United Kingdom
GBR,2006,1.92,United Kingdom
GBR,2007,2.15,United Kingdom
GBR,2008,2.58,United Kingdom
GBR,2009,3.09,United Kingdom
GBR,2010,3.3,United Kingdom
GBR,2011,4.02,United Kingdom
GBR,2012,4.18,United Kingdom
GBR,2013,5.08,United Kingdom
GBR,2014,6.38,United Kingdom
GBR,2015,7.58,United Kingdom
GBR,2016,8.08,United Kingdom
GBR,2017,9.11,United Kingdom
GBR,2018,10.36,United Kingdom
GBR,2019,11.53,United Kingdom
GBR,2020,13.43,United Kingdom
GBR,2021,12.71,United Kingdom
GBR,2022,14.11,United Kingdom
GBR,2023,14.87,United Kingdom
GBR,2024,15.26,United Kingdom
IRL,1990,1.69,Ireland
IRL,1991,1.68,Ireland
IRL,1992,1.64,Ireland
IRL,1993,1.6,Ireland
IRL,1994,1.65,Ireland
IRL,1995,1.45,Ireland
IRL,1996,1.48,Ireland
IRL,1997,1.51,Ireland
IRL,1998,1.83,Ireland
IRL,1999,1.67,Ireland
IRL,2000,1.71,Ireland
IRL,2001,1.63,Ireland
IRL,2002,1.82,Ireland
IRL,2003,1.68,Ireland
IRL,2004,1.95,Ireland
IRL,2005,2.52,Ireland
IRL,2006,2.9,Ireland
IRL,2007,3.21,Ireland
IRL,2008,3.89,Ireland
IRL,2009,4.64,Ireland
IRL,2010,4.64,Ireland
IRL,2011,6.11,Ireland
IRL,2012,6.15,Ireland
IRL,2013,6.74,Ireland
IRL,2014,7.78,Ireland
IRL,2015,8.43,Ireland
IRL,2016,7.96,Ireland
IRL,2017,9.51,Ireland
IRL,2018,10.5,Ireland
IRL,2019,11.76,Ireland
IRL,2020,13.23,Ireland
IRL,2021,11.54,Ireland
IRL,2022,13.06,Ireland
IRL,2023,14.49,Ireland
IRL,2024,14.65,Ireland
ISR,1990,3.15,Israel
ISR,1991,3.33,Israel
ISR,1992,3.06,Israel
ISR,1993,3.07,Israel
ISR,1994,3.01,Israel
ISR,1995,3.03,Israel
ISR,1996,3.09,Israel
ISR,1997,3.1,Israel
ISR,1998,3.17,Israel
ISR,1999,3.27,Israel
ISR,2000,3.32,Israel
ISR,2001,3.32,Israel
ISR,2002,3.55,Israel
ISR,2003,3.56,Israel
ISR,2004,3.84,Israel
ISR,2005,4.01,Israel
ISR,2006,3.69,Israel
ISR,2007,3.68,Israel
ISR,2008,4.75,Israel
ISR,2009,5.0,Israel
ISR,2010,5.02,Israel
ISR,2011,4.99,Israel
ISR,2012,1.61,Israel
ISR,2013,1.94,Israel
ISR,2014,2.34,Israel
ISR,2015,2.35,Israel
ISR,2016,2.56,Israel
ISR,2017,2.69,Israel
ISR,2018,2.58,Israel
ISR,2019,3.65,Israel
ISR,2020,4.17,Israel
ISR,2021,4.72,Israel
ISR,2022,4.91,Israel
ISR,2023,5.68,Israel
ISR,2024,6.96,Israel
ITA,1990,4.42,Italy
ITA,1991,5.0,Italy
ITA,1992,5.31,Italy
