province,source,generation_mwh,share
Newfoundland and Labrador,Hydro,35648473.0,96.12528403339446
Newfoundland and Labrador,Nuclear,0.0,0.0
Newfoundland and Labrador,Wind,181400.0,0.48914091000918203
Newfoundland and Labrador,Solar,0.0,0.0
Newfoundland and Labrador,Biomass,1846.0,0.0049776963609534175
Newfoundland and Labrador,Natural gas,268156.63734973787,0.7230781787114278
Newfoundland and Labrador,Oil,985552.3626502622,2.657519181523973
Newfoundland and Labrador,Coal,0.0,0.0
Prince Edward Island,Hydro,0.0,0.0
Prince Edward Island,Nuclear,0.0,0.0
Prince Edward Island,Wind,588460.0,91.60906656703406
Prince Edward Island,Solar,47286.0,7.36129273304689
Prince Edward Island,Biomass,4295.0,0.6686281835730743
Prince Edward Island,Natural gas,0.0,0.0
Prince Edward Island,Oil,2319.0,0.36101251634597425
Prince Edward Island,Coal,0.0,0.0
Nova Scotia,Hydro,564498.0,6.276560117094674
Nova Scotia,Nuclear,0.0,0.0
Nova Scotia,Wind,1673499.0,18.607359245555912
Nova Scotia,Solar,6466.0,0.07189438707866842
Nova Scotia,Biomass,360025.0,4.003058569130467
Nova Scotia,Natural gas,2470862.8957133903,27.473116833086607
Nova Scotia,Oil,143793.53353494703,1.5988165727452783
Nova Scotia,Coal,3774603.5707516624,41.96919427530838
New Brunswick,Hydro,2468700.0,18.738745139403147
New Brunswick,Nuclear,3299075.0,25.04173274224346
New Brunswick,Wind,1148609.0,8.718552807479526
New Brunswick,Solar,1988.0,0.015089976642416434
New Brunswick,Biomass,742251.0,5.634079604029296
New Brunswick,Natural gas,2337568.092200081,17.74338426124606
New Brunswick,Oil,634964.9446766593,4.8197214204849255
New Brunswick,Coal,2541151.9631232596,19.288694048471157
Quebec,Hydro,174721571.0,92.7691090606979
Quebec,Nuclear,0.0,0.0
Quebec,Wind,11647654.0,6.184367952067431
Quebec,Solar,12164.0,0.0064585239026629946
Quebec,Biomass,1359139.0,0.7216402267791416
Quebec,Natural gas,86607.25531870824,0.04598446470074925
Quebec,Oil,513113.74468129175,0.2724397718521078
Quebec,Coal,0.0,0.0
Ontario,Hydro,38324018.0,22.543687860070378
Ontario,Nuclear,77865690.0,45.803647476864334
Ontario,Wind,14457156.0,8.504265189739332
Ontario,Solar,2293977.0,1.3494070858170628
Ontario,Biomass,1401636.0,0.8244971724373369
Ontario,Natural gas,35600003.35144471,20.941315792421054
Ontario,Oil,56404.64855528872,0.033179422650500744
Ontario,Coal,0.0,0.0
Manitoba,Hydro,24442836.0,96.19268733113383
Manitoba,Nuclear,0.0,0.0
Manitoba,Wind,896440.0,3.5278628319202245
Manitoba,Solar,2112.0,0.008311595088366777
Manitoba,Biomass,44223.0,0.17403582840570267
Manitoba,Natural gas,19529.170777287196,0.07685537874639027
Manitoba,Oil,5144.829222712804,0.02024703470548561
Manitoba,Coal,0.0,0.0
Saskatchewan,Hydro,2783888.0,11.025919518084562
Saskatchewan,Nuclear,0.0,0.0
Saskatchewan,Wind,2647047.0,10.48394446277551
Saskatchewan,Solar,46194.0,0.18295683095670454
Saskatchewan,Biomass,56722.0,0.22465422707551186
Saskatchewan,Natural gas,12731109.667913144,50.42307397938372
Saskatchewan,Oil,931.5961449531944,0.003689697328919756
Saskatchewan,Coal,6982686.735941902,27.655761284395062
Alberta,Hydro,2048437.0,2.379006135527641
Alberta,Nuclear,0.0,0.0
Alberta,Wind,15440116.0,17.931784427472508
Alberta,Solar,3587503.0,4.166440875762261
Alberta,Biomass,1698163.0,1.9722062216831788
Alberta,Natural gas,61494992.573228694,71.4188254927722
Alberta,Oil,13132.098946687709,0.015251308176197818
Alberta,Coal,1822394.3278246126,2.116485538606032
British Columbia,Hydro,57728518.0,88.82756027588613
British Columbia,Nuclear,0.0,0.0
British Columbia,Wind,1812143.0,2.7883660820987144
British Columbia,Solar,18980.0,0.029204752736529952
British Columbia,Biomass,3594488.0,5.530881625628244
British Columbia,Natural gas,1784743.1540875782,2.7462056118726186
British Columbia,Oil,50549.84591242181,0.0777816517777644
British Columbia,Coal,0.0,0.0
