cmauid,name,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,not_vm
001,St. John's,6.0,1.6,0.8,1.4,0.5,0.7,0.3,0.2,0.2,0.1,0.0,94.0
010,Grand Falls-Windsor,2.8,1.1,0.4,0.5,0.4,0.0,0.0,0.1,0.0,0.0,0.0,97.2
011,Gander,2.4,0.7,0.1,0.5,0.4,0.3,0.0,0.1,0.0,0.1,0.0,97.6
015,Corner Brook,2.2,0.6,0.2,0.4,0.4,0.2,0.1,0.2,0.0,0.0,0.0,97.8
105,Charlottetown,14.3,3.9,3.7,2.0,0.7,1.3,0.6,1.1,0.4,0.1,0.2,85.7
110,Summerside,8.2,2.7,1.0,0.7,2.3,0.4,0.1,0.6,0.0,0.1,0.1,91.8
205,Halifax,16.0,3.7,2.1,4.5,1.0,2.1,0.5,0.4,0.4,0.5,0.2,84.0
210,Kentville,6.1,1.0,0.4,2.2,1.4,0.4,0.2,0.1,0.0,0.0,0.1,93.9
215,Truro,4.9,1.2,0.4,1.9,0.5,0.4,0.1,0.0,0.0,0.1,0.0,95.1
220,New Glasgow,4.5,0.5,0.3,2.2,0.7,0.2,0.3,0.2,0.0,0.0,0.0,95.5
225,Cape Breton,5.1,2.1,0.6,1.3,0.4,0.2,0.1,0.1,0.1,0.1,0.0,94.9
305,Moncton,10.6,2.1,0.6,3.4,1.0,1.2,0.6,0.6,0.1,0.5,0.1,89.4
310,Saint John,7.4,1.5,1.2,1.8,0.6,0.9,0.3,0.3,0.2,0.3,0.0,92.6
320,Fredericton,9.0,1.8,1.2,2.0,0.7,1.5,0.5,0.4,0.4,0.2,0.1,91.0
328,Bathurst,2.8,0.5,0.3,1.3,0.3,0.1,0.1,0.1,0.0,0.1,0.0,97.2
329,Miramichi,2.7,0.6,0.2,0.6,0.8,0.2,0.1,0.1,0.0,0.1,0.0,97.3
330,Campbellton,2.3,0.7,0.2,0.4,0.3,0.4,0.0,0.0,0.0,0.0,0.0,97.7
13330,Campbellton (New Brunswick part),2.6,0.8,0.2,0.5,0.3,0.4,0.0,0.0,0.0,0.0,0.0,97.4
24330,Campbellton (Quebec part),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
335,Edmundston,3.0,0.2,0.1,1.7,0.2,0.6,0.1,0.1,0.0,0.0,0.0,97.0
403,Matane,1.3,0.1,0.0,0.6,0.1,0.2,0.1,0.1,0.0,0.0,0.0,98.7
404,Rimouski,2.3,0.1,0.3,1.2,0.0,0.4,0.3,0.1,0.0,0.0,0.0,97.7
405,Rivière-du-Loup,2.3,0.1,0.2,0.9,0.0,0.4,0.4,0.2,0.0,0.0,0.0,97.7
406,Baie-Comeau,1.5,0.1,0.1,0.9,0.0,0.0,0.1,0.1,0.0,0.0,0.0,98.5
408,Saguenay,1.9,0.1,0.2,0.8,0.0,0.3,0.3,0.1,0.0,0.0,0.0,98.1
410,Alma,1.3,0.0,0.2,0.6,0.1,0.1,0.1,0.1,0.0,0.0,0.0,98.7
411,Dolbeau-Mistassini,1.3,0.0,0.1,0.7,0.0,0.2,0.2,0.1,0.0,0.0,0.0,98.7
412,Sept-Îles,2.1,0.0,0.1,0.8,0.4,0.2,0.3,0.0,0.0,0.1,0.0,97.9
421,Québec,7.2,0.2,0.4,3.1,0.1,1.4,1.2,0.4,0.1,0.0,0.0,92.8
423,Sainte-Marie,3.8,0.4,0.2,1.1,0.0,0.2,1.5,0.0,0.0,0.0,0.0,96.2
428,Saint-Georges,2.6,0.0,0.1,0.9,0.0,0.5,0.9,0.1,0.0,0.0,0.0,97.4
430,Thetford Mines,2.7,0.1,0.2,0.8,0.1,0.4,0.8,0.2,0.0,0.0,0.0,97.3
433,Sherbrooke,7.7,0.3,0.4,2.5,0.1,1.3,1.6,0.3,0.7,0.0,0.0,92.3
437,Cowansville,2.0,0.2,0.2,0.8,0.1,0.1,0.5,0.0,0.0,0.0,0.0,98.0
440,Victoriaville,3.5,0.0,0.2,1.0,0.0,0.7,1.2,0.2,0.0,0.0,0.0,96.5
442,Trois-Rivières,5.3,0.1,0.3,2.5,0.1,0.9,1.1,0.2,0.0,0.0,0.0,94.7
444,Shawinigan,2.2,0.1,0.1,0.8,0.0,0.3,0.5,0.1,0.0,0.0,0.0,97.8
447,Drummondville,4.5,0.1,0.2,1.7,0.1,1.0,1.2,0.2,0.0,0.0,0.0,95.5
450,Granby,4.6,0.1,0.2,1.5,0.1,0.6,1.4,0.2,0.4,0.0,0.0,95.4
452,Saint-Hyacinthe,9.5,0.1,0.3,4.3,0.0,1.3,2.9,0.2,0.1,0.0,0.0,90.5
454,Sorel-Tracy,2.3,0.0,0.1,1.1,0.0,0.2,0.4,0.1,0.0,0.0,0.0,97.7
456,Joliette,4.5,0.0,0.2,1.9,0.1,0.9,0.9,0.3,0.0,0.0,0.0,95.5
462,Montréal,27.2,2.9,2.5,8.1,1.0,5.9,3.3,1.5,0.9,0.2,0.1,72.8
465,Salaberry-de-Valleyfield,3.1,0.1,0.1,1.1,0.3,0.4,0.8,0.1,0.0,0.0,0.0,96.9
467,Sainte-Agathe-des-Monts,2.1,0.1,0.1,0.4,0.1,0.3,0.5,0.4,0.0,0.1,0.0,97.9
468,Lachute,1.5,0.2,0.2,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,98.5
480,Val-d'Or,3.5,0.0,0.2,2.0,0.3,0.6,0.3,0.1,0.0,0.0,0.0,96.5
481,Amos,1.7,0.0,0.1,1.0,0.2,0.2,0.0,0.2,0.1,0.0,0.0,98.3
485,Rouyn-Noranda,2.5,0.1,0.1,0.9,0.2,0.7,0.4,0.1,0.0,0.0,0.0,97.5
501,Cornwall,8.3,4.1,0.3,1.4,0.5,0.4,0.5,0.4,0.3,0.1,0.1,91.7
502,Hawkesbury,4.7,1.5,0.4,1.4,0.3,0.6,0.3,0.0,0.0,0.0,0.0,95.3
24502,Hawkesbury (Quebec part),2.5,0.0,1.6,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,97.3
35502,Hawkesbury (Ontario part),5.1,1.7,0.2,1.7,0.3,0.7,0.3,0.0,0.0,0.0,0.0,94.9
505,Ottawa - Gatineau,26.4,4.2,3.4,7.8,1.1,4.7,1.4,1.2,1.0,0.3,0.2,73.6
24505,Ottawa - Gatineau (Quebec part),16.2,0.6,1.0,7.9,0.4,3.0,1.7,0.5,0.3,0.1,0.1,83.8
35505,Ottawa - Gatineau (Ontario part),29.6,5.3,4.2,7.8,1.3,5.3,1.3,1.4,1.2,0.4,0.2,70.4
512,Brockville,5.1,1.6,0.6,0.6,0.5,0.6,0.3,0.1,0.1,0.1,0.1,94.9
515,Pembroke,3.1,0.8,0.5,0.5,0.5,0.1,0.3,0.2,0.0,0.1,0.0,96.9
516,Petawawa,6.2,1.7,0.3,1.6,0.4,0.3,0.5,0.4,0.1,0.2,0.2,93.8
521,Kingston,10.9,2.8,1.9,1.7,0.7,1.0,0.8,0.5,0.4,0.4,0.2,89.1
522,Belleville - Quinte West,6.8,2.3,0.6,1.3,0.6,0.2,0.6,0.2,0.1,0.3,0.1,93.2
527,Cobourg,5.0,0.8,0.4,1.1,0.7,0.3,0.4,0.3,0.2,0.3,0.2,95.0
528,Port Hope,4.5,0.8,0.6,1.2,0.2,0.0,0.5,0.1,0.3,0.1,0.2,95.5
529,Peterborough,7.3,2.4,0.8,1.2,0.5,0.4,0.4,0.5,0.2,0.3,0.1,92.7
530,Kawartha Lakes,3.4,0.9,0.5,0.8,0.3,0.0,0.2,0.1,0.0,0.2,0.0,96.6
531,Centre Wellington,5.2,2.0,0.4,1.0,0.7,0.0,0.3,0.1,0.0,0.1,0.1,94.8
532,Oshawa,28.0,9.1,2.2,8.0,2.2,0.8,1.1,0.4,1.2,0.3,0.2,72.0
533,Ingersoll,5.5,1.6,0.1,1.7,0.2,0.2,0.5,0.1,0.3,0.1,0.2,94.5
535,Toronto,57.0,19.2,11.1,7.9,4.6,2.1,2.5,1.7,2.6,1.2,0.3,43.0
537,Hamilton,23.5,6.2,2.0,4.3,1.9,2.5,1.9,1.3,1.2,0.5,0.2,76.5
539,St. Catharines - Niagara,13.9,3.0,1.5,3.0,1.5,0.8,1.6,0.7,0.2,0.4,0.2,86.1
