dauid,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous,name
48060056,55.2,0.0,19.8,10.4,13.5,0.0,5.2,0.0,0.0,0.0,0.0,40.6,5.2,StatCan area #48060056
48060057,39.7,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.4,3.8,StatCan area #48060057
48060058,53.7,0.0,28.4,0.0,10.5,2.1,0.0,0.0,0.0,0.0,0.0,46.3,0.0,StatCan area #48060058
48060059,45.5,0.0,15.6,9.1,11.7,0.0,9.1,0.0,0.0,0.0,0.0,54.5,0.0,StatCan area #48060059
48060060,54.3,4.7,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.9,1.6,StatCan area #48060060
48060061,46.9,0.0,16.7,6.2,7.3,0.0,6.2,2.1,0.0,0.0,0.0,49.0,4.2,StatCan area #48060061
48060062,23.5,0.0,11.8,6.7,0.0,0.0,1.7,0.0,0.0,0.0,0.0,73.9,2.5,StatCan area #48060062
48060063,51.1,8.6,13.7,14.4,0.0,7.2,0.0,2.9,0.0,0.0,0.0,39.6,9.4,StatCan area #48060063
48060064,58.5,8.5,22.3,2.1,6.4,0.0,9.6,0.0,0.0,0.0,0.0,37.2,5.3,StatCan area #48060064
48060065,42.9,0.0,22.1,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,57.1,0.0,StatCan area #48060065
48060066,19.8,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.7,5.5,StatCan area #48060066
48060067,20.4,0.0,6.2,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.3,5.3,StatCan area #48060067
48060068,39.0,0.0,15.9,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.7,8.5,StatCan area #48060068
48060069,32.1,0.0,12.8,2.6,3.8,7.7,0.0,0.0,0.0,0.0,0.0,61.5,5.1,StatCan area #48060069
48060070,39.7,0.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.4,5.9,StatCan area #48060070
48060071,25.4,0.0,10.5,7.0,3.5,0.0,0.0,2.6,0.0,0.0,0.0,71.9,2.6,StatCan area #48060071
