dauid,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous,name
24520101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24520101
24520102,9.2,0.0,0.0,5.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,90.8,0.0,StatCan area #24520102
24520103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.9,3.7,StatCan area #24520103
24520104,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.7,3.0,StatCan area #24520104
24520105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,2.2,StatCan area #24520105
24520106,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.4,0.0,StatCan area #24520106
24520107,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.3,1.6,StatCan area #24520107
24520108,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.7,0.0,StatCan area #24520108
24520109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5,1.5,StatCan area #24520109
24520110,10.8,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.5,2.3,StatCan area #24520110
24520111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.1,6.9,StatCan area #24520111
24520112,2.2,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,93.4,4.1,StatCan area #24520112
24520113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24520113
24520114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.4,3.0,StatCan area #24520114
24520115,1.8,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,96.9,0.9,StatCan area #24520115
24520116,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.2,1.2,StatCan area #24520116
24520117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.2,3.3,StatCan area #24520117
24550075,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.2,0.0,StatCan area #24550075
24550076,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,96.9,0.0,StatCan area #24550076
24550077,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.6,1.7,StatCan area #24550077
24550078,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,StatCan area #24550078
24550079,6.9,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,92.2,1.0,StatCan area #24550079
24550080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,2.0,StatCan area #24550080
24550081,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.9,2.0,StatCan area #24550081
24550082,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,4.3,StatCan area #24550082
24550083,3.9,0.0,0.0,2.8,0.0,1.1,0.0,0.0,0.0,0.0,0.0,93.3,2.8,StatCan area #24550083
24550084,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,0.0,StatCan area #24550084
24550085,4.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,94.1,1.5,StatCan area #24550085
24550086,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.4,0.9,StatCan area #24550086
24550087,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.9,1.2,StatCan area #24550087
24550088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,5.5,StatCan area #24550088
24560136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24560136
24560137,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.7,1.4,StatCan area #24560137
24560138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.8,0.0,StatCan area #24560138
24560139,3.2,0.0,2.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8,0.0,StatCan area #24560139
24560140,6.4,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,90.9,3.6,StatCan area #24560140
24560141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24560141
24560142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.3,0.0,StatCan area #24560142
24560143,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.2,0.0,StatCan area #24560143
24560144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24560144
24560145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.8,0.0,StatCan area #24560145
24560146,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.7,0.0,StatCan area #24560146
24560147,6.8,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,91.7,1.5,StatCan area #24560147
24560148,9.2,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.8,0.0,StatCan area #24560148
