dauid,christian,no_religion,muslim,hindu,sikh,buddhist,jewish,indigenous_spirituality,other_religion,name
24520101,66.1,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520101
24520102,79.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520102
24520103,73.2,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520103
24520104,69.7,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520104
24520105,69.2,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520105
24520106,64.5,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520106
24520107,73.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520107
24520108,65.5,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520108
24520109,74.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520109
24520110,58.8,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520110
24520111,64.3,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520111
24520112,77.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,1.6,StatCan area #24520112
24520113,61.2,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520113
24520114,66.3,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520114
24520115,64.7,33.7,0.0,0.0,0.0,0.6,0.0,0.0,0.9,StatCan area #24520115
24520116,75.3,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520116
24520117,68.7,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520117
24550075,76.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550075
24550076,66.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550076
24550077,61.2,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550077
24550078,59.4,40.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550078
24550079,53.9,38.7,6.9,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550079
24550080,68.0,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550080
24550081,66.3,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550081
24550082,72.6,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550082
24550083,73.9,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550083
24550084,60.8,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550084
24550085,62.4,37.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550085
24550086,64.3,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550086
24550087,73.9,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550087
24550088,53.4,47.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550088
24560136,79.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24560136
24560137,69.3,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24560137
