dauid,christian,no_religion,muslim,hindu,sikh,buddhist,jewish,indigenous_spirituality,other_religion,name
35180018,63.2,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180018
35180019,55.7,36.9,0.0,0.0,0.0,0.0,4.0,0.0,0.0,StatCan area #35180019
35180021,41.9,53.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180021
35180022,40.6,52.1,0.0,0.0,0.0,0.0,4.2,0.0,0.0,StatCan area #35180022
35180024,49.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,StatCan area #35180024
35180025,71.9,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180025
35180026,63.2,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180026
35180027,63.1,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180027
35180028,54.9,41.5,0.0,0.0,0.0,0.0,2.9,0.0,0.0,StatCan area #35180028
35180035,59.6,37.1,1.8,0.0,0.0,0.0,1.4,0.0,0.0,StatCan area #35180035
35180038,52.4,46.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,StatCan area #35180038
35180356,56.2,12.3,18.7,8.2,0.0,2.3,0.0,0.0,0.0,StatCan area #35180356
35180357,62.2,26.8,7.1,3.1,0.0,0.0,0.0,0.0,0.0,StatCan area #35180357
35180358,59.2,20.2,15.0,4.7,0.0,0.0,0.0,0.0,0.0,StatCan area #35180358
35180359,64.7,22.4,7.1,3.5,0.0,0.0,0.0,0.0,0.0,StatCan area #35180359
35180360,61.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180360
35180361,54.7,21.1,10.6,9.3,0.0,5.0,0.0,0.0,0.0,StatCan area #35180361
35180362,48.2,28.2,10.6,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180362
35180363,40.5,45.6,8.9,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180363
35180364,45.8,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180364
35180365,41.6,28.9,24.7,3.6,0.0,0.0,0.0,0.0,0.0,StatCan area #35180365
35180366,56.0,21.5,13.9,7.7,0.0,0.0,0.0,0.0,0.0,StatCan area #35180366
35180367,35.2,29.6,0.0,35.2,0.0,0.0,0.0,0.0,0.0,StatCan area #35180367
35180368,57.3,13.8,14.6,11.4,0.0,0.0,0.0,0.0,1.2,StatCan area #35180368
35180369,54.3,21.9,19.0,4.8,0.0,0.0,0.0,0.0,0.0,StatCan area #35180369
35180370,33.8,22.5,36.6,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180370
35180371,43.8,28.1,11.2,13.5,0.0,0.0,0.0,0.0,0.0,StatCan area #35180371
35180372,51.9,19.1,10.5,13.0,0.0,4.3,0.0,0.0,1.9,StatCan area #35180372
35180373,65.1,14.3,12.7,0.0,4.0,0.0,0.0,0.0,0.0,StatCan area #35180373
35180374,47.4,26.9,14.1,5.1,0.0,0.0,0.0,0.0,0.0,StatCan area #35180374
35180375,61.3,21.3,8.9,8.1,0.0,0.0,0.0,0.0,0.0,StatCan area #35180375
35180380,48.5,22.3,15.4,8.5,4.6,0.0,0.0,0.0,0.0,StatCan area #35180380
35180381,56.3,21.4,9.5,9.5,0.0,0.0,0.0,0.0,0.0,StatCan area #35180381
35180382,59.4,16.8,4.9,16.1,0.0,0.0,0.0,0.0,0.0,StatCan area #35180382
35180383,51.4,22.0,12.8,11.0,0.0,0.0,0.0,0.0,1.8,StatCan area #35180383
35180385,55.8,16.9,16.3,7.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180385
35180388,46.4,14.5,31.9,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180388
35180389,47.2,20.2,19.1,11.2,4.5,0.0,0.0,0.0,0.0,StatCan area #35180389
35180391,51.4,19.0,21.9,3.8,0.0,0.0,0.0,0.0,0.0,StatCan area #35180391
35180392,62.6,26.5,6.8,3.4,0.0,0.0,0.0,0.0,0.0,StatCan area #35180392
35180393,60.0,15.8,15.8,8.4,0.0,0.0,0.0,0.0,0.0,StatCan area #35180393
35180394,53.1,23.5,13.3,9.2,0.0,0.0,0.0,0.0,0.0,StatCan area #35180394
35180397,57.5,27.4,5.7,7.5,0.0,0.0,0.0,0.0,0.0,StatCan area #35180397
35180398,55.2,28.4,9.0,6.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180398
35180399,58.5,16.9,9.2,13.8,0.0,0.0,0.0,0.0,0.0,StatCan area #35180399
35180400,46.2,19.4,26.9,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180400
35180401,59.5,23.4,9.0,3.6,0.0,0.0,0.0,0.0,4.5,StatCan area #35180401
35180402,77.4,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180402
35180403,75.4,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180403
