geography,geo_level,year,group,count,share
Calgary,cma,2011,Buddhist,23260,1.94
Calgary,cma,2021,Buddhist,22125,1.51
Calgary,cma,2011,Christian,667110,55.63
Calgary,cma,2021,Christian,656310,44.79
Calgary,cma,2011,Hindu,17835,1.49
Calgary,cma,2021,Hindu,34920,2.38
Calgary,cma,2011,Jewish,6170,0.51
Calgary,cma,2021,Jewish,6705,0.46
Calgary,cma,2011,Muslim,58310,4.86
Calgary,cma,2021,Muslim,100825,6.88
Calgary,cma,2011,No religion / secular,388365,32.39
Calgary,cma,2021,No religion / secular,576025,39.31
Calgary,cma,2011,Other religions,6465,0.54
Calgary,cma,2021,Other religions,10725,0.73
Calgary,cma,2011,Sikh,30420,2.54
Calgary,cma,2021,Sikh,56060,3.83
Calgary,cma,2011,Traditional Indigenous spirituality,1195,0.1
Calgary,cma,2021,Traditional Indigenous spirituality,1480,0.1
Edmonton,cma,2011,Buddhist,17570,1.54
Edmonton,cma,2021,Buddhist,16465,1.18
Edmonton,cma,2011,Christian,673165,59.07
Edmonton,cma,2021,Christian,655715,46.91
Edmonton,cma,2011,Hindu,15615,1.37
Edmonton,cma,2021,Hindu,35830,2.56
Edmonton,cma,2011,Jewish,3790,0.33
Edmonton,cma,2021,Jewish,3820,0.27
Edmonton,cma,2011,Muslim,46125,4.05
Edmonton,cma,2021,Muslim,86120,6.16
Edmonton,cma,2011,No religion / secular,354935,31.15
Edmonton,cma,2021,No religion / secular,539075,38.57
Edmonton,cma,2011,Other religions,5585,0.49
Edmonton,cma,2021,Other religions,12785,0.91
Edmonton,cma,2011,Sikh,20425,1.79
Edmonton,cma,2021,Sikh,44440,3.18
Edmonton,cma,2011,Traditional Indigenous spirituality,2375,0.21
Edmonton,cma,2021,Traditional Indigenous spirituality,3495,0.25
Halifax,cma,2011,Buddhist,1590,0.41
Halifax,cma,2021,Buddhist,2205,0.48
Halifax,cma,2011,Christian,274965,71.5
Halifax,cma,2021,Christian,245770,53.3
Halifax,cma,2011,Hindu,1540,0.4
Halifax,cma,2021,Hindu,6855,1.49
Halifax,cma,2011,Jewish,1345,0.35
Halifax,cma,2021,Jewish,1775,0.38
Halifax,cma,2011,Muslim,7540,1.96
Halifax,cma,2021,Muslim,13265,2.88
Halifax,cma,2011,No religion / secular,95660,24.88
Halifax,cma,2021,No religion / secular,183885,39.88
Halifax,cma,2011,Other religions,1515,0.39
Halifax,cma,2021,Other religions,3455,0.75
Halifax,cma,2011,Sikh,350,0.09
Halifax,cma,2021,Sikh,3540,0.77
Halifax,cma,2011,Traditional Indigenous spirituality,45,0.01
Halifax,cma,2021,Traditional Indigenous spirituality,380,0.08
Montréal,cma,2011,Buddhist,47350,1.26
Montréal,cma,2021,Buddhist,42540,1.01
Montréal,cma,2011,Christian,2790920,74.38
Montréal,cma,2021,Christian,2431435,57.8
Montréal,cma,2011,Hindu,32280,0.86
Montréal,cma,2021,Hindu,45565,1.08
Montréal,cma,2011,Jewish,83200,2.22
Montréal,cma,2021,Jewish,82080,1.95
Montréal,cma,2011,Muslim,221040,5.89
Montréal,cma,2021,Muslim,365670,8.69
Montréal,cma,2011,No religion / secular,560650,14.94
Montréal,cma,2021,No religion / secular,1200085,28.53
Montréal,cma,2011,Other religions,7620,0.2
Montréal,cma,2021,Other religions,15785,0.38
Montréal,cma,2011,Sikh,9205,0.25
Montréal,cma,2021,Sikh,22990,0.55
Montréal,cma,2011,Traditional Indigenous spirituality,200,0.01
Montréal,cma,2021,Traditional Indigenous spirituality,295,0.01
Ottawa–Gatineau,cma,2011,Buddhist,12860,1.06
Ottawa–Gatineau,cma,2021,Buddhist,12185,0.83
Ottawa–Gatineau,cma,2011,Christian,850925,69.99
Ottawa–Gatineau,cma,2021,Christian,824655,56.31
Ottawa–Gatineau,cma,2011,Hindu,12295,1.01
Ottawa–Gatineau,cma,2021,Hindu,21205,1.45
Ottawa–Gatineau,cma,2011,Jewish,10980,0.9
Ottawa–Gatineau,cma,2021,Jewish,11395,0.78
Ottawa–Gatineau,cma,2011,Muslim,65880,5.42
Ottawa–Gatineau,cma,2021,Muslim,114780,7.84
Ottawa–Gatineau,cma,2011,No religion / secular,252795,20.79
Ottawa–Gatineau,cma,2021,No religion / secular,462555,31.58
Ottawa–Gatineau,cma,2011,Other religions,6185,0.51
Ottawa–Gatineau,cma,2021,Other religions,10250,0.7
Ottawa–Gatineau,cma,2011,Sikh,3445,0.28
Ottawa–Gatineau,cma,2021,Sikh,6735,0.46
Ottawa–Gatineau,cma,2011,Traditional Indigenous spirituality,375,0.03
Ottawa–Gatineau,cma,2021,Traditional Indigenous spirituality,745,0.05
Toronto,cma,2011,Buddhist,124215,2.25
Toronto,cma,2021,Buddhist,120865,1.97
Toronto,cma,2011,Christian,3128565,56.66
Toronto,cma,2021,Christian,2851285,46.42
Toronto,cma,2011,Hindu,325420,5.89
Toronto,cma,2021,Hindu,457825,7.45
Toronto,cma,2011,Jewish,167765,3.04
Toronto,cma,2021,Jewish,165765,2.7
Toronto,cma,2011,Muslim,424935,7.7
Toronto,cma,2021,Muslim,626010,10.19
Toronto,cma,2011,No religion / secular,1165010,21.1
Toronto,cma,2021,No religion / secular,1636865,26.65
Toronto,cma,2011,Other religions,24305,0.44
Toronto,cma,2021,Other religions,38745,0.63
Toronto,cma,2011,Sikh,159905,2.9
Toronto,cma,2021,Sikh,244240,3.98
Toronto,cma,2011,Traditional Indigenous spirituality,1110,0.02
Toronto,cma,2021,Traditional Indigenous spirituality,1285,0.02
Vancouver,cma,2011,Buddhist,78465,3.44
Vancouver,cma,2021,Buddhist,70670,2.71
Vancouver,cma,2011,Christian,950170,41.66
Vancouver,cma,2021,Christian,863055,33.11
Vancouver,cma,2011,Hindu,40030,1.76
Vancouver,cma,2021,Hindu,66535,2.55
Vancouver,cma,2011,Jewish,18730,0.82
Vancouver,cma,2021,Jewish,20125,0.77
Vancouver,cma,2011,Muslim,73215,3.21
Vancouver,cma,2021,Muslim,110645,4.24
Vancouver,cma,2011,No religion / secular,945405,41.45
Vancouver,cma,2021,No religion / secular,1227755,47.09
Vancouver,cma,2011,Other religions,17185,0.75
Vancouver,cma,2021,Other religions,24205,0.93
Vancouver,cma,2011,Sikh,155945,6.84
Vancouver,cma,2021,Sikh,222165,8.52
Vancouver,cma,2011,Traditional Indigenous spirituality,1550,0.07
Vancouver,cma,2021,Traditional Indigenous spirituality,1865,0.07
Winnipeg,cma,2011,Buddhist,6315,0.88
Winnipeg,cma,2021,Buddhist,7010,0.86
Winnipeg,cma,2011,Christian,460755,64.47
