country_code,year,avoidable_mortality,country_name
AUS,2000,237,Australia
AUS,2001,227,Australia
AUS,2002,218,Australia
AUS,2003,207,Australia
AUS,2004,199,Australia
AUS,2006,187,Australia
AUS,2007,182,Australia
AUS,2008,181,Australia
AUS,2009,177,Australia
AUS,2010,170,Australia
AUS,2011,168,Australia
AUS,2012,161,Australia
AUS,2013,160,Australia
AUS,2014,162,Australia
AUS,2015,162,Australia
AUS,2016,156,Australia
AUS,2017,154,Australia
AUS,2018,150,Australia
AUS,2019,155,Australia
AUS,2020,145,Australia
AUS,2021,144,Australia
AUS,2022,156,Australia
AUS,2023,146,Australia
CAN,2000,254,Canada
CAN,2001,246,Canada
CAN,2002,243,Canada
CAN,2003,239,Canada
CAN,2004,231,Canada
CAN,2005,229,Canada
CAN,2006,216,Canada
CAN,2007,219,Canada
CAN,2008,215,Canada
CAN,2009,208,Canada
CAN,2010,202,Canada
CAN,2011,195,Canada
CAN,2012,194,Canada
CAN,2013,193,Canada
CAN,2014,191,Canada
CAN,2015,188,Canada
CAN,2016,183,Canada
CAN,2017,184,Canada
CAN,2018,185,Canada
CAN,2019,179,Canada
CAN,2020,189,Canada
CAN,2021,193,Canada
CAN,2022,184,Canada
CHE,2000,217,Switzerland
CHE,2001,204,Switzerland
CHE,2002,196,Switzerland
CHE,2003,192,Switzerland
CHE,2004,182,Switzerland
CHE,2005,182,Switzerland
CHE,2006,174,Switzerland
CHE,2007,174,Switzerland
CHE,2008,169,Switzerland
CHE,2009,166,Switzerland
CHE,2010,158,Switzerland
CHE,2011,152,Switzerland
CHE,2012,149,Switzerland
CHE,2013,147,Switzerland
CHE,2014,141,Switzerland
CHE,2015,140,Switzerland
CHE,2016,134,Switzerland
CHE,2017,131,Switzerland
CHE,2018,130,Switzerland
CHE,2019,124,Switzerland
CHE,2020,133,Switzerland
CHE,2021,131,Switzerland
CHE,2022,124,Switzerland
CHE,2023,114,Switzerland
DEU,2000,283,Germany
DEU,2001,273,Germany
DEU,2002,270,Germany
DEU,2003,265,Germany
DEU,2004,251,Germany
DEU,2005,242,Germany
DEU,2006,233,Germany
DEU,2007,226,Germany
DEU,2008,221,Germany
DEU,2009,217,Germany
DEU,2010,212,Germany
DEU,2011,209,Germany
DEU,2012,205,Germany
DEU,2013,208,Germany
DEU,2014,199,Germany
DEU,2015,204,Germany
DEU,2016,200,Germany
DEU,2017,196,Germany
DEU,2018,196,Germany
DEU,2019,188,Germany
DEU,2020,195,Germany
DNK,2000,329,Denmark
DNK,2001,321,Denmark
DNK,2002,311,Denmark
DNK,2003,303,Denmark
DNK,2004,292,Denmark
DNK,2005,282,Denmark
DNK,2006,279,Denmark
DNK,2007,264,Denmark
DNK,2008,255,Denmark
DNK,2009,244,Denmark
DNK,2010,238,Denmark
DNK,2011,221,Denmark
DNK,2012,217,Denmark
DNK,2013,207,Denmark
DNK,2014,202,Denmark
DNK,2015,198,Denmark
DNK,2016,199,Denmark
DNK,2017,188,Denmark
DNK,2018,180,Denmark
DNK,2019,180,Denmark
DNK,2020,174,Denmark
DNK,2021,174,Denmark
DNK,2022,175,Denmark
FIN,2000,305,Finland
FIN,2001,289,Finland
FIN,2002,283,Finland
FIN,2003,271,Finland
FIN,2004,274,Finland
FIN,2005,267,Finland
FIN,2006,257,Finland
FIN,2007,256,Finland
FIN,2008,246,Finland
FIN,2009,243,Finland
FIN,2010,234,Finland
FIN,2011,224,Finland
FIN,2012,218,Finland
FIN,2013,211,Finland
FIN,2014,200,Finland
FIN,2015,193,Finland
FIN,2016,198,Finland
FIN,2017,192,Finland
FIN,2018,188,Finland
FIN,2019,181,Finland
FIN,2020,186,Finland
FIN,2021,183,Finland
FIN,2022,191,Finland
FRA,2000,237,France
FRA,2001,232,France
FRA,2002,227,France
FRA,2003,222,France
FRA,2004,209,France
FRA,2005,208,France
FRA,2006,201,France
FRA,2007,195,France
FRA,2008,192,France
FRA,2009,190,France
FRA,2010,185,France
FRA,2011,181,France
FRA,2012,174,France
FRA,2013,170,France
FRA,2014,164,France
FRA,2015,164,France
FRA,2016,161,France
FRA,2017,158,France
FRA,2018,157,France
