country_code,year,health_pct_gdp,country_name
AUS,2000,7.589,Australia
AUS,2001,7.674,Australia
AUS,2002,7.872,Australia
AUS,2003,7.877,Australia
AUS,2004,8.083,Australia
AUS,2005,7.965,Australia
AUS,2006,7.972,Australia
AUS,2007,8.052,Australia
AUS,2008,8.247,Australia
AUS,2009,8.543,Australia
AUS,2010,8.419,Australia
AUS,2011,8.534,Australia
AUS,2012,8.67,Australia
AUS,2013,8.747,Australia
AUS,2014,9.828,Australia
AUS,2015,10.136,Australia
AUS,2016,10.09,Australia
AUS,2017,10.109,Australia
AUS,2018,10.089,Australia
AUS,2019,10.254,Australia
AUS,2020,10.703,Australia
AUS,2021,10.516,Australia
AUS,2022,9.892,Australia
AUS,2023,9.884,Australia
AUS,2024,10.346,Australia
CAN,2000,8.248,Canada
CAN,2001,8.625,Canada
CAN,2002,8.857,Canada
CAN,2003,9.011,Canada
CAN,2004,9.066,Canada
CAN,2005,9.035,Canada
CAN,2006,9.332,Canada
CAN,2007,9.435,Canada
CAN,2008,9.594,Canada
CAN,2009,10.704,Canada
CAN,2010,10.701,Canada
CAN,2011,10.405,Canada
CAN,2012,10.541,Canada
CAN,2013,10.436,Canada
CAN,2014,10.281,Canada
CAN,2015,10.764,Canada
CAN,2016,11.056,Canada
CAN,2017,10.924,Canada
CAN,2018,10.923,Canada
CAN,2019,11.048,Canada
CAN,2020,13.017,Canada
CAN,2021,12.381,Canada
CAN,2022,11.081,Canada
CAN,2023,11.187,Canada
CAN,2024,11.298,Canada
CHE,2000,9.134,Switzerland
CHE,2001,9.46,Switzerland
CHE,2002,9.88,Switzerland
CHE,2003,10.137,Switzerland
CHE,2004,10.226,Switzerland
CHE,2005,10.058,Switzerland
CHE,2006,9.58,Switzerland
CHE,2007,9.417,Switzerland
CHE,2008,9.532,Switzerland
CHE,2009,10.142,Switzerland
CHE,2010,9.991,Switzerland
CHE,2011,10.104,Switzerland
CHE,2012,10.335,Switzerland
CHE,2013,10.594,Switzerland
CHE,2014,10.675,Switzerland
CHE,2015,10.98,Switzerland
CHE,2016,11.202,Switzerland
CHE,2017,11.375,Switzerland
CHE,2018,11.158,Switzerland
CHE,2019,11.395,Switzerland
CHE,2020,11.99,Switzerland
CHE,2021,11.959,Switzerland
CHE,2022,11.599,Switzerland
CHE,2023,11.691,Switzerland
CHE,2024,11.773,Switzerland
DEU,2000,9.759,Germany
DEU,2001,9.781,Germany
DEU,2002,10.029,Germany
DEU,2003,10.223,Germany
DEU,2004,9.975,Germany
DEU,2005,10.107,Germany
DEU,2006,9.962,Germany
DEU,2007,9.835,Germany
DEU,2008,10.032,Germany
DEU,2009,10.97,Germany
DEU,2010,10.831,Germany
DEU,2011,10.521,Germany
DEU,2012,10.594,Germany
DEU,2013,10.743,Germany
DEU,2014,10.768,Germany
DEU,2015,10.923,Germany
DEU,2016,10.971,Germany
DEU,2017,11.051,Germany
DEU,2018,11.184,Germany
DEU,2019,11.428,Germany
DEU,2020,12.468,Germany
DEU,2021,12.724,Germany
DEU,2022,12.447,Germany
DEU,2023,11.744,Germany
DEU,2024,12.267,Germany
DNK,2000,8.11,Denmark
DNK,2001,8.444,Denmark
DNK,2002,8.695,Denmark
DNK,2003,8.89,Denmark
DNK,2004,8.986,Denmark
DNK,2005,9.067,Denmark
DNK,2006,9.153,Denmark
DNK,2007,9.302,Denmark
DNK,2008,9.468,Denmark
DNK,2009,10.629,Denmark
DNK,2010,10.579,Denmark
DNK,2011,10.378,Denmark
DNK,2012,10.517,Denmark
DNK,2013,10.279,Denmark
DNK,2014,10.297,Denmark
DNK,2015,10.359,Denmark
DNK,2016,10.268,Denmark
DNK,2017,10.114,Denmark
DNK,2018,10.142,Denmark
DNK,2019,10.185,Denmark
