country_code,year,health_pc_usd,country_name
AUS,2000,2150.423,Australia
AUS,2001,2288.632,Australia
AUS,2002,2481.046,Australia
AUS,2003,2580.884,Australia
AUS,2004,2819.899,Australia
AUS,2005,2872.44,Australia
AUS,2006,2996.468,Australia
AUS,2007,3198.071,Australia
AUS,2008,3350.144,Australia
AUS,2009,3415.154,Australia
AUS,2010,3593.576,Australia
AUS,2011,3809.112,Australia
AUS,2012,3854.19,Australia
AUS,2013,4087.849,Australia
AUS,2014,4556.492,Australia
AUS,2015,4755.031,Australia
AUS,2016,5032.26,Australia
AUS,2017,5066.341,Australia
AUS,2018,5208.627,Australia
AUS,2019,5257.676,Australia
AUS,2020,5819.048,Australia
AUS,2021,6545.649,Australia
AUS,2022,6907.229,Australia
AUS,2023,7015.233,Australia
AUS,2024,7468.917,Australia
CAN,2000,2450.593,Canada
CAN,2001,2624.297,Canada
CAN,2002,2758.142,Canada
CAN,2003,2914.35,Canada
CAN,2004,3122.576,Canada
CAN,2005,3292.016,Canada
CAN,2006,3482.877,Canada
CAN,2007,3705.429,Canada
CAN,2008,3844.209,Canada
CAN,2009,3940.189,Canada
CAN,2010,4155.043,Canada
CAN,2011,4227.904,Canada
CAN,2012,4347.058,Canada
CAN,2013,4437.882,Canada
CAN,2014,4547.456,Canada
CAN,2015,4644.781,Canada
CAN,2016,5054.65,Canada
CAN,2017,5180.064,Canada
CAN,2018,5344.737,Canada
CAN,2019,5407.465,Canada
CAN,2020,6208.613,Canada
CAN,2021,6905.645,Canada
CAN,2022,6875.476,Canada
CAN,2023,7045.543,Canada
CAN,2024,7300.645,Canada
CHE,2000,3327.067,Switzerland
CHE,2001,3555.288,Switzerland
CHE,2002,3887.068,Switzerland
CHE,2003,3914.828,Switzerland
CHE,2004,4107.752,Switzerland
CHE,2005,4106.058,Switzerland
CHE,2006,4232.636,Switzerland
CHE,2007,4597.507,Switzerland
CHE,2008,4905.058,Switzerland
CHE,2009,5059.531,Switzerland
CHE,2010,5076.002,Switzerland
CHE,2011,5258.917,Switzerland
CHE,2012,5566.075,Switzerland
CHE,2013,5944.008,Switzerland
CHE,2014,6126.465,Switzerland
CHE,2015,6377.217,Switzerland
CHE,2016,6674.485,Switzerland
CHE,2017,6713.317,Switzerland
CHE,2018,6838.268,Switzerland
CHE,2019,7356.446,Switzerland
CHE,2020,7621.094,Switzerland
CHE,2021,8391.694,Switzerland
CHE,2022,9089.356,Switzerland
CHE,2023,9300.949,Switzerland
CHE,2024,9962.993,Switzerland
DEU,2000,2886.311,Germany
