country_code,year,hospital_beds,country_name
AUS,2000,4.04,Australia
AUS,2001,3.95,Australia
AUS,2002,3.93,Australia
AUS,2003,3.97,Australia
AUS,2004,4.0,Australia
AUS,2005,3.9,Australia
AUS,2006,3.93,Australia
AUS,2008,3.82,Australia
AUS,2009,3.77,Australia
AUS,2010,3.78,Australia
AUS,2011,3.79,Australia
AUS,2012,3.75,Australia
AUS,2013,3.74,Australia
AUS,2014,3.79,Australia
AUS,2015,3.82,Australia
AUS,2016,3.84,Australia
CAN,2000,3.77,Canada
CAN,2001,3.69,Canada
CAN,2002,3.64,Canada
CAN,2003,3.5,Canada
CAN,2004,3.44,Canada
CAN,2005,3.1,Canada
CAN,2006,3.02,Canada
CAN,2007,2.96,Canada
CAN,2008,2.85,Canada
CAN,2009,2.8,Canada
CAN,2010,2.78,Canada
CAN,2011,2.8,Canada
CAN,2012,2.79,Canada
CAN,2013,2.72,Canada
CAN,2014,2.67,Canada
CAN,2015,2.62,Canada
CAN,2016,2.6,Canada
CAN,2017,2.53,Canada
CAN,2018,2.55,Canada
CAN,2019,2.52,Canada
CAN,2020,2.55,Canada
CAN,2021,2.58,Canada
CAN,2022,2.53,Canada
CAN,2023,2.49,Canada
CHE,2000,6.29,Switzerland
CHE,2001,6.04,Switzerland
CHE,2002,5.95,Switzerland
CHE,2003,5.82,Switzerland
CHE,2004,5.67,Switzerland
CHE,2005,5.54,Switzerland
CHE,2006,5.39,Switzerland
CHE,2007,5.36,Switzerland
CHE,2008,5.21,Switzerland
CHE,2009,5.1,Switzerland
CHE,2010,5.19,Switzerland
CHE,2011,5.05,Switzerland
CHE,2012,4.97,Switzerland
CHE,2013,4.85,Switzerland
CHE,2014,4.73,Switzerland
CHE,2015,4.73,Switzerland
CHE,2016,4.69,Switzerland
CHE,2017,4.65,Switzerland
CHE,2018,4.63,Switzerland
CHE,2019,4.59,Switzerland
CHE,2020,4.48,Switzerland
CHE,2021,4.43,Switzerland
CHE,2022,4.42,Switzerland
CHE,2023,4.37,Switzerland
DEU,2000,9.12,Germany
DEU,2001,9.01,Germany
DEU,2002,8.87,Germany
DEU,2003,8.74,Germany
DEU,2004,8.58,Germany
DEU,2005,8.47,Germany
DEU,2006,8.3,Germany
DEU,2007,8.24,Germany
DEU,2008,8.21,Germany
DEU,2009,8.24,Germany
DEU,2010,8.25,Germany
DEU,2011,8.38,Germany
DEU,2012,8.34,Germany
DEU,2013,8.28,Germany
DEU,2014,8.23,Germany
DEU,2015,8.13,Germany
DEU,2016,8.06,Germany
DEU,2017,8.0,Germany
DEU,2018,7.98,Germany
DEU,2019,7.91,Germany
DEU,2020,7.82,Germany
DEU,2021,7.76,Germany
DEU,2022,7.72,Germany
DEU,2023,7.66,Germany
DNK,2000,4.26,Denmark
DNK,2001,4.19,Denmark
DNK,2002,4.26,Denmark
DNK,2003,4.1,Denmark
DNK,2004,3.93,Denmark
DNK,2005,3.8,Denmark
DNK,2006,3.72,Denmark
DNK,2007,3.6,Denmark
DNK,2008,3.51,Denmark
DNK,2009,3.44,Denmark
DNK,2010,3.44,Denmark
DNK,2011,3.07,Denmark
DNK,2013,3.0,Denmark
DNK,2016,2.52,Denmark
DNK,2017,2.54,Denmark
DNK,2018,2.54,Denmark
DNK,2019,2.49,Denmark
DNK,2020,2.48,Denmark
DNK,2021,2.41,Denmark
DNK,2022,2.38,Denmark
DNK,2023,2.33,Denmark
DNK,2024,2.23,Denmark
FIN,2000,7.54,Finland
FIN,2001,7.46,Finland
FIN,2002,7.35,Finland
FIN,2003,7.24,Finland
FIN,2004,7.1,Finland
FIN,2005,7.05,Finland
FIN,2006,6.99,Finland
FIN,2007,6.73,Finland
FIN,2008,6.57,Finland
FIN,2009,6.25,Finland
FIN,2010,5.86,Finland
FIN,2011,5.53,Finland
FIN,2012,5.29,Finland
FIN,2013,4.86,Finland
FIN,2014,4.53,Finland
FIN,2015,4.28,Finland
FIN,2016,3.97,Finland
FIN,2017,3.75,Finland
FIN,2018,3.57,Finland
FIN,2019,3.39,Finland
FIN,2020,2.75,Finland
FIN,2021,2.79,Finland
FIN,2022,2.62,Finland
FIN,2023,2.6,Finland
FRA,2000,7.97,France
FRA,2001,7.83,France
FRA,2002,7.71,France
FRA,2003,7.55,France
FRA,2004,7.39,France
FRA,2005,7.22,France
FRA,2006,7.11,France
FRA,2007,7.06,France
FRA,2008,6.9,France
FRA,2009,6.66,France
FRA,2010,6.43,France
FRA,2011,6.36,France
FRA,2012,6.34,France
FRA,2013,6.28,France
FRA,2014,6.19,France
FRA,2015,6.13,France
FRA,2016,6.05,France
FRA,2017,5.97,France
FRA,2018,5.89,France
FRA,2019,5.8,France
FRA,2020,5.71,France
FRA,2021,5.61,France
FRA,2022,5.48,France
