country_code,year,life_expectancy,country_name
AUS,2000,79.2,Australia
AUS,2001,79.6,Australia
AUS,2002,79.9,Australia
AUS,2003,80.2,Australia
AUS,2004,80.5,Australia
AUS,2005,80.8,Australia
AUS,2006,81.0,Australia
AUS,2007,81.3,Australia
AUS,2008,81.4,Australia
AUS,2009,81.5,Australia
AUS,2010,81.7,Australia
AUS,2011,81.9,Australia
AUS,2012,82.0,Australia
AUS,2013,82.1,Australia
AUS,2014,82.3,Australia
AUS,2015,82.4,Australia
AUS,2016,82.4,Australia
AUS,2017,82.5,Australia
AUS,2018,82.8,Australia
AUS,2019,82.9,Australia
AUS,2020,83.2,Australia
AUS,2021,83.3,Australia
AUS,2022,83.2,Australia
AUS,2023,83.0,Australia
CAN,2000,79.3,Canada
CAN,2001,79.5,Canada
CAN,2002,79.6,Canada
CAN,2003,79.8,Canada
CAN,2004,80.1,Canada
CAN,2005,80.2,Canada
CAN,2006,80.7,Canada
CAN,2007,80.7,Canada
CAN,2008,80.8,Canada
CAN,2009,81.2,Canada
CAN,2010,81.4,Canada
CAN,2011,81.6,Canada
CAN,2012,81.8,Canada
CAN,2013,81.8,Canada
CAN,2014,81.9,Canada
CAN,2015,81.9,Canada
CAN,2016,82.0,Canada
CAN,2017,81.9,Canada
CAN,2018,81.9,Canada
CAN,2019,82.2,Canada
CAN,2020,81.6,Canada
CAN,2021,81.6,Canada
CAN,2022,81.3,Canada
CAN,2023,81.7,Canada
CHE,2000,80.0,Switzerland
CHE,2001,80.5,Switzerland
CHE,2002,80.6,Switzerland
CHE,2003,80.7,Switzerland
CHE,2004,81.3,Switzerland
CHE,2005,81.5,Switzerland
CHE,2006,81.8,Switzerland
CHE,2007,82.0,Switzerland
CHE,2008,82.3,Switzerland
CHE,2009,82.3,Switzerland
CHE,2010,82.7,Switzerland
CHE,2011,82.8,Switzerland
CHE,2012,82.8,Switzerland
CHE,2013,82.9,Switzerland
CHE,2014,83.3,Switzerland
CHE,2015,83.0,Switzerland
CHE,2016,83.7,Switzerland
CHE,2017,83.7,Switzerland
CHE,2018,83.8,Switzerland
CHE,2019,84.0,Switzerland
CHE,2020,83.1,Switzerland
CHE,2021,83.9,Switzerland
CHE,2022,83.7,Switzerland
CHE,2023,84.3,Switzerland
DEU,2000,78.3,Germany
DEU,2001,78.6,Germany
DEU,2002,78.6,Germany
DEU,2003,78.6,Germany
DEU,2004,79.3,Germany
DEU,2005,79.4,Germany
DEU,2006,79.9,Germany
DEU,2007,80.1,Germany
DEU,2008,80.2,Germany
DEU,2009,80.3,Germany
DEU,2010,80.5,Germany
DEU,2011,80.6,Germany
DEU,2012,80.7,Germany
DEU,2013,80.6,Germany
DEU,2014,81.2,Germany
DEU,2015,80.7,Germany
DEU,2016,81.0,Germany
DEU,2017,81.1,Germany
DEU,2018,81.0,Germany
DEU,2019,81.3,Germany
DEU,2020,81.1,Germany
DEU,2021,80.8,Germany
DEU,2022,80.7,Germany
DEU,2023,81.1,Germany
DNK,2000,76.9,Denmark
DNK,2001,77.0,Denmark
DNK,2002,77.1,Denmark
DNK,2003,77.4,Denmark
DNK,2004,77.8,Denmark
DNK,2005,78.3,Denmark
DNK,2006,78.4,Denmark
DNK,2007,78.4,Denmark
DNK,2008,78.8,Denmark
DNK,2009,79.0,Denmark
DNK,2010,79.3,Denmark
DNK,2011,79.9,Denmark
DNK,2012,80.2,Denmark
DNK,2013,80.4,Denmark
DNK,2014,80.7,Denmark
DNK,2015,80.8,Denmark
DNK,2016,80.9,Denmark
DNK,2017,81.1,Denmark
DNK,2018,81.0,Denmark
DNK,2019,81.5,Denmark
DNK,2020,81.6,Denmark
DNK,2021,81.5,Denmark
DNK,2022,81.3,Denmark
DNK,2023,81.8,Denmark
FIN,2000,77.8,Finland
FIN,2001,78.2,Finland
FIN,2002,78.3,Finland
FIN,2003,78.6,Finland
FIN,2004,79.0,Finland
FIN,2005,79.1,Finland
FIN,2006,79.5,Finland
FIN,2007,79.6,Finland
FIN,2008,79.9,Finland
FIN,2009,80.1,Finland
FIN,2010,80.2,Finland
FIN,2011,80.6,Finland
FIN,2012,80.7,Finland
FIN,2013,81.1,Finland
FIN,2014,81.3,Finland
FIN,2015,81.6,Finland
FIN,2016,81.5,Finland
FIN,2017,81.7,Finland
FIN,2018,81.8,Finland
FIN,2019,82.1,Finland
FIN,2020,82.0,Finland
FIN,2021,81.9,Finland
FIN,2022,81.2,Finland
FIN,2023,81.6,Finland
FRA,2000,79.2,France
FRA,2001,79.3,France
FRA,2002,79.4,France
FRA,2003,79.3,France
FRA,2004,80.3,France
FRA,2005,80.3,France
FRA,2006,80.9,France
FRA,2007,81.3,France
FRA,2008,81.4,France
FRA,2009,81.5,France
FRA,2010,81.8,France
FRA,2011,82.3,France
FRA,2012,82.1,France
FRA,2013,82.4,France
FRA,2014,82.9,France
FRA,2015,82.4,France
FRA,2016,82.7,France
FRA,2017,82.7,France
FRA,2018,82.8,France
FRA,2019,83.0,France
FRA,2020,82.3,France
FRA,2021,82.4,France
FRA,2022,82.3,France
FRA,2023,83.0,France
GBR,2000,77.8,United Kingdom
GBR,2001,78.0,United Kingdom
GBR,2002,78.2,United Kingdom
GBR,2003,78.3,United Kingdom
GBR,2004,78.8,United Kingdom
GBR,2005,79.0,United Kingdom
GBR,2006,79.3,United Kingdom
GBR,2007,79.5,United Kingdom
GBR,2008,79.6,United Kingdom
GBR,2009,80.1,United Kingdom
GBR,2010,80.4,United Kingdom
GBR,2011,80.7,United Kingdom
GBR,2012,80.8,United Kingdom
GBR,2013,80.9,United Kingdom
GBR,2014,81.1,United Kingdom
GBR,2015,80.9,United Kingdom
GBR,2016,81.0,United Kingdom
GBR,2017,81.1,United Kingdom
GBR,2018,81.0,United Kingdom
GBR,2019,81.4,United Kingdom
GBR,2020,80.3,United Kingdom
GBR,2021,80.5,United Kingdom
GBR,2022,80.9,United Kingdom
GBR,2023,81.0,United Kingdom
ISR,2000,78.8,Israel
ISR,2001,79.3,Israel
ISR,2002,79.6,Israel
ISR,2003,79.8,Israel
