country_code,year,pharma_pc_usd,country_name
AUS,1971,33.839,Australia
AUS,1972,34.035,Australia
AUS,1973,37.788,Australia
AUS,1974,45.149,Australia
AUS,1975,44.218,Australia
AUS,1976,44.18,Australia
AUS,1977,45.243,Australia
AUS,1978,47.958,Australia
AUS,1979,47.132,Australia
AUS,1980,54.685,Australia
AUS,1981,62.511,Australia
AUS,1982,65.008,Australia
AUS,1983,72.387,Australia
AUS,1984,75.878,Australia
AUS,1985,81.53,Australia
AUS,1986,86.299,Australia
AUS,1987,90.68,Australia
AUS,1988,100.726,Australia
AUS,1989,111.669,Australia
AUS,1990,121.946,Australia
AUS,1991,134.807,Australia
AUS,1992,148.764,Australia
AUS,1993,164.306,Australia
AUS,1994,181.837,Australia
AUS,1995,196.063,Australia
AUS,1996,215.068,Australia
AUS,1997,232.323,Australia
AUS,1998,258.9,Australia
AUS,1999,287.245,Australia
AUS,2000,337.653,Australia
AUS,2001,367.523,Australia
AUS,2002,381.433,Australia
AUS,2003,406.781,Australia
AUS,2004,441.478,Australia
AUS,2005,437.125,Australia
AUS,2006,457.726,Australia
AUS,2007,486.14,Australia
AUS,2008,516.333,Australia
AUS,2009,530.552,Australia
AUS,2010,561.687,Australia
AUS,2011,583.222,Australia
AUS,2012,589.993,Australia
AUS,2013,586.402,Australia
AUS,2014,569.455,Australia
AUS,2015,594.145,Australia
AUS,2016,650.539,Australia
AUS,2017,622.949,Australia
AUS,2018,650.482,Australia
AUS,2019,661.709,Australia
AUS,2020,701.053,Australia
AUS,2021,790.543,Australia
AUS,2022,875.496,Australia
CAN,1970,32.684,Canada
CAN,1971,36.13,Canada
CAN,1972,37.076,Canada
CAN,1973,40.128,Canada
CAN,1974,42.13,Canada
CAN,1975,45.427,Canada
CAN,1976,48.668,Canada
CAN,1977,51.69,Canada
CAN,1978,55.495,Canada
CAN,1979,62.866,Canada
CAN,1980,70.739,Canada
CAN,1981,84.104,Canada
CAN,1982,90.358,Canada
CAN,1983,97.554,Canada
CAN,1984,107.828,Canada
CAN,1985,122.028,Canada
CAN,1986,137.551,Canada
CAN,1987,150.106,Canada
CAN,1988,166.34,Canada
CAN,1989,184.661,Canada
CAN,1990,202.518,Canada
CAN,1991,219.057,Canada
CAN,1992,241.917,Canada
CAN,1993,258.297,Canada
CAN,1994,267.114,Canada
CAN,1995,285.008,Canada
CAN,1996,291.519,Canada
CAN,1997,319.143,Canada
CAN,1998,345.516,Canada
CAN,1999,369.052,Canada
CAN,2000,406.817,Canada
CAN,2001,444.046,Canada
CAN,2002,480.962,Canada
CAN,2003,520.06,Canada
CAN,2004,561.807,Canada
CAN,2005,594.465,Canada
CAN,2006,625.282,Canada
CAN,2007,657.559,Canada
CAN,2008,674.414,Canada
CAN,2009,692.005,Canada
CAN,2010,755.718,Canada
CAN,2011,755.062,Canada
CAN,2012,755.304,Canada
CAN,2013,752.228,Canada
CAN,2014,752.251,Canada
CAN,2015,772.7,Canada
CAN,2016,836.071,Canada
CAN,2017,847.205,Canada
CAN,2018,848.165,Canada
CAN,2019,852.115,Canada
CAN,2020,887.061,Canada
CAN,2021,953.607,Canada
CAN,2022,1010.218,Canada
CAN,2023,1052.055,Canada
CAN,2024,1069.716,Canada
CHE,2010,605.117,Switzerland
CHE,2011,612.884,Switzerland
CHE,2012,641.912,Switzerland
CHE,2013,674.697,Switzerland
CHE,2014,688.47,Switzerland
CHE,2015,711.533,Switzerland
CHE,2016,754.858,Switzerland
CHE,2017,770.262,Switzerland
CHE,2018,794.01,Switzerland
CHE,2019,862.806,Switzerland
CHE,2020,896.261,Switzerland
CHE,2021,962.629,Switzerland
CHE,2022,1084.71,Switzerland
CHE,2023,1127.945,Switzerland
DEU,1970,42.897,Germany
DEU,1971,48.392,Germany
DEU,1972,53.476,Germany
DEU,1973,58.791,Germany
DEU,1974,67.371,Germany
DEU,1975,76.314,Germany
DEU,1976,84.135,Germany
DEU,1977,89.661,Germany
DEU,1978,101.799,Germany
DEU,1979,111.144,Germany
DEU,1980,126.192,Germany
DEU,1981,141.852,Germany
DEU,1982,146.128,Germany
DEU,1983,156.959,Germany
DEU,1984,170.747,Germany
DEU,1985,185.72,Germany
DEU,1986,199.065,Germany
DEU,1987,215.973,Germany
DEU,1988,236.538,Germany
DEU,1989,236.529,Germany
DEU,1990,253.628,Germany
DEU,1992,297.206,Germany
DEU,1993,270.328,Germany
DEU,1994,281.041,Germany
DEU,1995,296.991,Germany
DEU,1996,333.734,Germany
DEU,1997,335.347,Germany
DEU,1998,357.977,Germany
DEU,1999,377.398,Germany
DEU,2000,407.561,Germany
DEU,2001,442.0,Germany
DEU,2002,483.022,Germany
DEU,2003,493.404,Germany
DEU,2004,475.274,Germany
DEU,2005,518.404,Germany
DEU,2006,533.69,Germany
DEU,2007,574.382,Germany
DEU,2008,606.585,Germany
DEU,2009,632.699,Germany
DEU,2010,663.309,Germany
DEU,2011,652.43,Germany
DEU,2012,670.593,Germany
DEU,2013,693.51,Germany
DEU,2014,739.786,Germany
DEU,2015,761.642,Germany
DEU,2016,819.478,Germany
DEU,2017,850.1,Germany
DEU,2018,891.894,Germany
DEU,2019,937.364,Germany
DEU,2020,1017.116,Germany
DEU,2021,1143.632,Germany
DEU,2022,1165.774,Germany
DEU,2023,1167.719,Germany
DNK,1980,50.221,Denmark
DNK,1981,53.585,Denmark
DNK,1982,59.171,Denmark
DNK,1983,64.279,Denmark
DNK,1984,67.979,Denmark
DNK,1985,75.955,Denmark
DNK,1986,84.943,Denmark
DNK,1987,86.169,Denmark
DNK,1988,96.255,Denmark
DNK,1989,95.452,Denmark
DNK,1990,109.85,Denmark
DNK,1991,120.855,Denmark
DNK,1992,126.25,Denmark
DNK,1993,143.126,Denmark
DNK,1994,154.545,Denmark
DNK,1995,159.984,Denmark
DNK,1996,166.148,Denmark
DNK,1997,175.816,Denmark
DNK,1998,198.47,Denmark
DNK,1999,197.474,Denmark
DNK,2000,212.767,Denmark
DNK,2001,222.158,Denmark
DNK,2002,255.15,Denmark
DNK,2003,251.63,Denmark
DNK,2004,260.545,Denmark
DNK,2005,258.681,Denmark
DNK,2006,286.629,Denmark
DNK,2007,316.637,Denmark
DNK,2008,314.596,Denmark
DNK,2009,305.752,Denmark
DNK,2010,336.908,Denmark
DNK,2011,327.597,Denmark
DNK,2012,320.08,Denmark
DNK,2013,308.592,Denmark
DNK,2014,310.753,Denmark
DNK,2015,316.799,Denmark
DNK,2016,321.823,Denmark
DNK,2017,332.76,Denmark
DNK,2018,341.553,Denmark
DNK,2019,373.413,Denmark
DNK,2020,395.995,Denmark
DNK,2021,428.234,Denmark
DNK,2022,426.479,Denmark
DNK,2023,494.543,Denmark
DNK,2024,517.688,Denmark
FIN,1970,20.982,Finland
FIN,1971,24.947,Finland
FIN,1972,28.06,Finland
FIN,1973,29.559,Finland
FIN,1974,32.693,Finland
FIN,1975,36.763,Finland
FIN,1976,40.97,Finland
FIN,1977,44.417,Finland
FIN,1978,48.251,Finland
FIN,1979,52.014,Finland
FIN,1980,55.267,Finland
FIN,1981,60.42,Finland
FIN,1982,63.244,Finland
FIN,1983,70.131,Finland
FIN,1984,75.594,Finland
FIN,1985,81.95,Finland
FIN,1986,87.031,Finland
FIN,1987,95.312,Finland
FIN,1988,102.511,Finland
FIN,1989,111.286,Finland
FIN,1990,124.432,Finland
FIN,1991,139.641,Finland
FIN,1992,148.973,Finland
FIN,1993,155.134,Finland
FIN,1994,167.271,Finland
FIN,1995,192.771,Finland
FIN,1996,210.935,Finland
FIN,1997,224.868,Finland
FIN,1998,223.223,Finland
FIN,1999,250.551,Finland
FIN,2000,282.261,Finland
FIN,2001,306.683,Finland
FIN,2002,344.581,Finland
FIN,2003,354.032,Finland
FIN,2004,388.021,Finland
FIN,2005,405.017,Finland
FIN,2006,389.389,Finland
FIN,2007,425.855,Finland
FIN,2008,457.118,Finland
FIN,2009,445.027,Finland
FIN,2010,446.804,Finland
FIN,2011,448.472,Finland
FIN,2012,460.321,Finland
FIN,2013,472.552,Finland
FIN,2014,467.218,Finland
FIN,2015,484.656,Finland
FIN,2016,515.993,Finland
FIN,2017,515.952,Finland
FIN,2018,536.801,Finland
FIN,2019,576.014,Finland
FIN,2020,610.636,Finland
FIN,2021,633.535,Finland
FIN,2022,665.985,Finland
FIN,2023,679.16,Finland
FRA,1970,46.903,France
FRA,1975,75.406,France
FRA,1980,108.127,France
FRA,1985,165.941,France
FRA,1990,252.134,France
FRA,1991,275.774,France
FRA,1992,290.88,France
FRA,1993,315.632,France
FRA,1994,325.179,France
FRA,1995,323.353,France
FRA,1996,330.249,France
FRA,1997,345.776,France
FRA,1998,368.572,France
FRA,1999,398.617,France
FRA,2000,454.263,France
FRA,2001,498.504,France
FRA,2002,541.758,France
FRA,2003,536.602,France
FRA,2004,559.009,France
FRA,2005,573.536,France
FRA,2006,581.298,France
FRA,2007,594.451,France
FRA,2008,606.492,France
FRA,2009,609.705,France
FRA,2010,665.323,France
FRA,2011,667.469,France
FRA,2012,671.438,France
FRA,2013,691.437,France
FRA,2014,695.452,France
FRA,2015,685.313,France
FRA,2016,714.698,France
FRA,2017,726.819,France
FRA,2018,717.992,France
FRA,2019,758.004,France
FRA,2020,772.697,France
FRA,2021,803.413,France
FRA,2022,871.379,France
FRA,2023,881.019,France
GBR,1970,19.612,United Kingdom
GBR,1971,21.454,United Kingdom
GBR,1972,23.048,United Kingdom
GBR,1973,24.355,United Kingdom
GBR,1974,29.425,United Kingdom
GBR,1975,28.639,United Kingdom
GBR,1976,32.06,United Kingdom
GBR,1977,35.608,United Kingdom
GBR,1978,40.434,United Kingdom
GBR,1979,44.462,United Kingdom
GBR,1980,52.09,United Kingdom
GBR,1981,58.068,United Kingdom
GBR,1982,64.969,United Kingdom
GBR,1983,71.712,United Kingdom
GBR,1984,79.033,United Kingdom
GBR,1985,82.477,United Kingdom
GBR,1986,87.189,United Kingdom
GBR,1987,91.858,United Kingdom
GBR,1988,100.882,United Kingdom
GBR,1989,109.294,United Kingdom
GBR,1990,113.352,United Kingdom
GBR,1991,123.875,United Kingdom
GBR,1992,140.441,United Kingdom
GBR,1993,154.515,United Kingdom
GBR,1994,168.824,United Kingdom
GBR,1995,176.404,United Kingdom
GBR,1996,193.832,United Kingdom
GBR,2013,444.15,United Kingdom
GBR,2014,449.388,United Kingdom
GBR,2015,452.136,United Kingdom
GBR,2016,463.906,United Kingdom
GBR,2017,466.379,United Kingdom
GBR,2018,466.098,United Kingdom
GBR,2019,496.773,United Kingdom
GBR,2020,534.37,United Kingdom
GBR,2021,532.362,United Kingdom
GBR,2022,591.856,United Kingdom
GBR,2023,620.148,United Kingdom
ISR,2006,231.783,Israel
ISR,2007,251.342,Israel
ISR,2008,247.078,Israel
ISR,2009,266.799,Israel
ISR,2010,268.647,Israel
ISR,2011,279.705,Israel
ISR,2012,294.604,Israel
ISR,2013,290.03,Israel
ISR,2014,287.708,Israel
ISR,2015,309.642,Israel
ISR,2016,329.683,Israel
ISR,2017,333.69,Israel
ISR,2018,364.146,Israel
ISR,2019,374.421,Israel
ISR,2020,453.243,Israel
ISR,2021,475.537,Israel
ISR,2022,476.15,Israel
ITA,1988,242.853,Italy
ITA,1989,261.459,Italy
ITA,1990,272.989,Italy
ITA,1991,290.251,Italy
ITA,1992,301.377,Italy
ITA,1993,284.528,Italy
ITA,1994,284.228,Italy
ITA,1995,286.105,Italy
ITA,1996,305.256,Italy
ITA,1997,333.346,Italy
ITA,1998,358.544,Italy
ITA,1999,381.619,Italy
ITA,2000,429.717,Italy
ITA,2001,471.764,Italy
ITA,2002,501.034,Italy
ITA,2003,488.558,Italy
ITA,2004,513.32,Italy
ITA,2005,508.362,Italy
ITA,2006,533.203,Italy
ITA,2007,536.294,Italy
ITA,2008,558.949,Italy
ITA,2009,552.79,Italy
ITA,2010,576.873,Italy
ITA,2011,568.355,Italy
ITA,2012,513.371,Italy
ITA,2013,523.516,Italy
ITA,2014,519.875,Italy
ITA,2015,554.924,Italy
ITA,2016,580.748,Italy
ITA,2017,597.231,Italy
ITA,2018,624.962,Italy
ITA,2019,690.491,Italy
ITA,2020,707.546,Italy
ITA,2021,746.456,Italy
ITA,2022,821.059,Italy
ITA,2023,846.373,Italy
ITA,2024,904.591,Italy
JPN,1980,113.323,Japan
JPN,1984,145.151,Japan
JPN,1985,147.09,Japan
JPN,1986,162.442,Japan
JPN,1987,185.826,Japan
JPN,1988,199.967,Japan
JPN,1989,227.937,Japan
JPN,1990,233.282,Japan
JPN,1991,266.744,Japan
JPN,1992,275.869,Japan
JPN,1993,296.49,Japan
JPN,1994,299.07,Japan
JPN,1995,297.368,Japan
JPN,1996,302.192,Japan
JPN,1997,298.214,Japan
JPN,1998,281.881,Japan
JPN,1999,302.756,Japan
JPN,2000,340.098,Japan
JPN,2001,366.913,Japan
JPN,2002,384.942,Japan
JPN,2003,428.518,Japan
JPN,2004,448.278,Japan
JPN,2005,489.158,Japan
JPN,2006,506.852,Japan
JPN,2007,537.234,Japan
JPN,2008,557.041,Japan
JPN,2009,623.452,Japan
JPN,2010,648.83,Japan
JPN,2011,707.419,Japan
JPN,2012,749.96,Japan
JPN,2013,812.268,Japan
JPN,2014,813.859,Japan
JPN,2015,891.393,Japan
JPN,2016,797.018,Japan
JPN,2017,804.975,Japan
JPN,2018,808.541,Japan
JPN,2019,834.842,Japan
JPN,2020,847.505,Japan
JPN,2021,894.683,Japan
JPN,2022,951.024,Japan
JPN,2023,990.92,Japan
KOR,1970,3.976,South Korea
KOR,1971,3.628,South Korea
KOR,1972,3.754,South Korea
KOR,1973,3.853,South Korea
KOR,1974,3.826,South Korea
KOR,1975,6.505,South Korea
KOR,1976,7.968,South Korea
KOR,1977,8.546,South Korea
KOR,1978,11.123,South Korea
KOR,1979,16.948,South Korea
KOR,1980,19.307,South Korea
KOR,1981,23.16,South Korea
KOR,1982,25.939,South Korea
KOR,1983,29.488,South Korea
KOR,1984,31.634,South Korea
KOR,1985,35.477,South Korea
KOR,1986,39.33,South Korea
KOR,1987,44.306,South Korea
KOR,1988,52.782,South Korea
KOR,1989,67.744,South Korea
KOR,1990,75.144,South Korea
KOR,1991,79.721,South Korea
KOR,1992,85.532,South Korea
KOR,1993,93.46,South Korea
KOR,1994,101.429,South Korea
KOR,1995,115.405,South Korea
KOR,1996,130.478,South Korea
KOR,1997,135.67,South Korea
KOR,1998,128.674,South Korea
KOR,1999,147.512,South Korea
KOR,2000,175.568,South Korea
KOR,2001,221.562,South Korea
KOR,2002,236.923,South Korea
KOR,2003,268.821,South Korea
KOR,2004,286.033,South Korea
KOR,2005,307.49,South Korea
KOR,2006,350.49,South Korea
KOR,2007,380.728,South Korea
KOR,2008,397.599,South Korea
KOR,2009,424.555,South Korea
KOR,2010,461.662,South Korea
KOR,2011,473.034,South Korea
KOR,2012,478.455,South Korea
KOR,2013,465.903,South Korea
KOR,2014,470.744,South Korea
KOR,2015,509.357,South Korea
KOR,2016,544.976,South Korea
KOR,2017,564.516,South Korea
KOR,2018,607.206,South Korea
KOR,2019,650.872,South Korea
KOR,2020,723.551,South Korea
KOR,2021,752.4,South Korea
KOR,2022,849.276,South Korea
KOR,2023,891.982,South Korea
KOR,2024,962.039,South Korea
NLD,1972,36.076,Netherlands
NLD,1973,38.205,Netherlands
NLD,1974,41.162,Netherlands
NLD,1975,44.802,Netherlands
NLD,1976,46.865,Netherlands
NLD,1977,49.717,Netherlands
NLD,1978,54.174,Netherlands
NLD,1979,58.288,Netherlands
NLD,1980,63.137,Netherlands
NLD,1981,67.703,Netherlands
NLD,1982,74.895,Netherlands
NLD,1983,77.511,Netherlands
NLD,1984,86.995,Netherlands
NLD,1985,93.776,Netherlands
NLD,1986,103.22,Netherlands
NLD,1987,113.045,Netherlands
NLD,1988,120.035,Netherlands
NLD,1989,126.599,Netherlands
NLD,1990,142.332,Netherlands
NLD,1991,152.226,Netherlands
NLD,1992,174.589,Netherlands
NLD,1993,190.025,Netherlands
NLD,1994,192.747,Netherlands
NLD,1995,203.7,Netherlands
NLD,1996,211.837,Netherlands
NLD,1997,216.545,Netherlands
NLD,1998,258.063,Netherlands
NLD,1999,283.513,Netherlands
NLD,2000,318.427,Netherlands
NLD,2001,340.022,Netherlands
NLD,2002,376.751,Netherlands
NLD,2003,376.353,Netherlands
NLD,2004,390.24,Netherlands
NLD,2005,399.59,Netherlands
NLD,2006,408.409,Netherlands
NLD,2007,444.197,Netherlands
NLD,2008,436.684,Netherlands
NLD,2009,425.989,Netherlands
NLD,2010,423.502,Netherlands
NLD,2011,426.645,Netherlands
NLD,2012,390.837,Netherlands
NLD,2013,377.565,Netherlands
NLD,2014,370.976,Netherlands
NLD,2015,381.062,Netherlands
NLD,2016,392.751,Netherlands
NLD,2017,398.395,Netherlands
NLD,2018,404.562,Netherlands
NLD,2019,431.267,Netherlands
NLD,2020,448.176,Netherlands
NLD,2021,480.17,Netherlands
NLD,2022,501.695,Netherlands
NLD,2023,485.278,Netherlands
NLD,2024,534.477,Netherlands
NOR,1970,13.206,Norway
NOR,1971,14.237,Norway
