country_code,year,physicians,country_name
AUS,2000,2.49,Australia
AUS,2001,2.56,Australia
AUS,2002,2.56,Australia
AUS,2003,2.63,Australia
AUS,2004,2.71,Australia
AUS,2005,2.78,Australia
AUS,2006,2.84,Australia
AUS,2007,3.01,Australia
AUS,2008,3.02,Australia
AUS,2009,3.12,Australia
AUS,2011,3.32,Australia
AUS,2012,3.31,Australia
AUS,2013,3.37,Australia
AUS,2014,3.45,Australia
AUS,2015,3.51,Australia
AUS,2016,3.58,Australia
AUS,2017,3.68,Australia
AUS,2018,3.75,Australia
AUS,2019,3.83,Australia
AUS,2020,3.91,Australia
AUS,2021,4.02,Australia
AUS,2022,4.12,Australia
AUS,2023,4.2,Australia
CAN,2000,2.01,Canada
CAN,2001,2.01,Canada
CAN,2002,2.02,Canada
CAN,2003,2.02,Canada
CAN,2004,2.04,Canada
CAN,2005,2.07,Canada
CAN,2006,2.08,Canada
CAN,2007,2.12,Canada
CAN,2008,2.17,Canada
CAN,2009,2.24,Canada
CAN,2010,2.28,Canada
CAN,2011,2.35,Canada
CAN,2012,2.41,Canada
CAN,2013,2.46,Canada
CAN,2014,2.51,Canada
CAN,2015,2.56,Canada
CAN,2016,2.62,Canada
CAN,2017,2.66,Canada
CAN,2018,2.72,Canada
CAN,2019,2.73,Canada
CAN,2020,2.73,Canada
CAN,2021,2.77,Canada
CAN,2022,2.75,Canada
CAN,2023,2.72,Canada
CHE,2003,3.65,Switzerland
CHE,2004,3.69,Switzerland
CHE,2005,3.74,Switzerland
CHE,2006,3.79,Switzerland
CHE,2007,3.78,Switzerland
CHE,2008,3.82,Switzerland
CHE,2009,3.83,Switzerland
CHE,2010,3.81,Switzerland
CHE,2011,3.83,Switzerland
CHE,2012,3.92,Switzerland
CHE,2013,4.04,Switzerland
CHE,2014,4.13,Switzerland
CHE,2015,4.2,Switzerland
CHE,2016,4.25,Switzerland
CHE,2017,4.3,Switzerland
CHE,2018,4.34,Switzerland
CHE,2019,4.35,Switzerland
CHE,2020,4.39,Switzerland
CHE,2021,4.44,Switzerland
CHE,2022,4.48,Switzerland
CHE,2023,4.55,Switzerland
DEU,2000,3.25,Germany
DEU,2001,3.29,Germany
DEU,2002,3.32,Germany
DEU,2003,3.35,Germany
DEU,2004,3.37,Germany
DEU,2005,3.4,Germany
DEU,2006,3.44,Germany
DEU,2007,3.49,Germany
DEU,2008,3.54,Germany
DEU,2009,3.62,Germany
DEU,2010,3.71,Germany
DEU,2011,3.88,Germany
DEU,2012,3.95,Germany
DEU,2013,4.04,Germany
DEU,2014,4.11,Germany
DEU,2015,4.14,Germany
DEU,2016,4.19,Germany
DEU,2017,4.25,Germany
DEU,2018,4.31,Germany
DEU,2019,4.39,Germany
DEU,2020,4.47,Germany
DEU,2021,4.53,Germany
DEU,2022,4.58,Germany
DEU,2023,4.66,Germany
DNK,2000,2.91,Denmark
DNK,2001,2.93,Denmark
DNK,2002,3.04,Denmark
DNK,2003,3.08,Denmark
DNK,2004,3.23,Denmark
DNK,2005,3.33,Denmark
DNK,2006,3.42,Denmark
DNK,2007,3.46,Denmark
DNK,2008,3.58,Denmark
DNK,2009,3.65,Denmark
DNK,2010,3.73,Denmark
DNK,2011,3.79,Denmark
DNK,2012,3.84,Denmark
DNK,2013,3.85,Denmark
DNK,2014,3.88,Denmark
DNK,2015,3.93,Denmark
DNK,2016,4.0,Denmark
DNK,2017,4.11,Denmark
DNK,2018,4.2,Denmark
DNK,2019,4.25,Denmark
DNK,2020,4.38,Denmark
DNK,2021,4.5,Denmark
DNK,2022,4.48,Denmark
DNK,2023,4.53,Denmark
FIN,2000,2.5,Finland
FIN,2001,2.5,Finland
FIN,2002,2.53,Finland
FIN,2003,2.56,Finland
FIN,2004,2.25,Finland
FIN,2005,2.31,Finland
FIN,2006,2.33,Finland
FIN,2007,2.39,Finland
FIN,2008,2.41,Finland
FIN,2009,2.4,Finland
FIN,2010,2.5,Finland
FIN,2011,2.54,Finland
FIN,2012,2.6,Finland
FIN,2013,2.65,Finland
FIN,2014,2.69,Finland
FIN,2015,2.7,Finland
FIN,2016,2.75,Finland
FIN,2017,2.76,Finland
FIN,2018,2.78,Finland
FIN,2019,2.82,Finland
FIN,2020,2.86,Finland
FIN,2021,2.85,Finland
FIN,2022,2.87,Finland
FIN,2023,2.88,Finland
FRA,2000,3.02,France
FRA,2001,3.05,France
FRA,2002,3.07,France
FRA,2003,3.08,France
FRA,2004,3.1,France
