country_code,country_name,year,smoking_pct
AUS,Australia,2000,24.5
AUS,Australia,2005,21.2
AUS,Australia,2007,20.0
AUS,Australia,2010,18.4
AUS,Australia,2015,15.9
AUS,Australia,2020,13.7
AUS,Australia,2021,13.4
AUS,Australia,2022,13.1
CAN,Canada,2000,28.7
CAN,Canada,2005,23.5
CAN,Canada,2007,21.6
CAN,Canada,2010,19.3
CAN,Canada,2015,15.8
CAN,Canada,2020,13.0
CAN,Canada,2021,12.5
CAN,Canada,2022,12.0
CHE,Switzerland,2000,28.3
CHE,Switzerland,2005,27.6
CHE,Switzerland,2007,27.3
CHE,Switzerland,2010,26.9
CHE,Switzerland,2015,26.4
CHE,Switzerland,2020,25.8
CHE,Switzerland,2021,25.7
CHE,Switzerland,2022,25.5
DEU,Germany,2000,36.2
DEU,Germany,2005,32.1
DEU,Germany,2007,30.6
DEU,Germany,2010,28.5
DEU,Germany,2015,25.1
DEU,Germany,2020,22.4
DEU,Germany,2021,21.7
DEU,Germany,2022,21.3
DNK,Denmark,2000,37.8
DNK,Denmark,2005,31.2
DNK,Denmark,2007,28.9
DNK,Denmark,2010,25.7
DNK,Denmark,2015,21.2
DNK,Denmark,2020,17.5
DNK,Denmark,2021,16.8
DNK,Denmark,2022,16.2
FIN,Finland,2000,38.7
FIN,Finland,2005,34.1
FIN,Finland,2007,32.5
FIN,Finland,2010,30.2
FIN,Finland,2015,26.5
FIN,Finland,2020,23.4
FIN,Finland,2021,22.8
FIN,Finland,2022,22.3
FRA,France,2000,34.7
FRA,France,2005,34.5
FRA,France,2007,34.5
FRA,France,2010,34.4
FRA,France,2015,34.5
FRA,France,2020,34.5
FRA,France,2021,34.5
FRA,France,2022,34.6
GBR,United Kingdom,2000,37.6
GBR,United Kingdom,2005,30.0
GBR,United Kingdom,2007,27.5
GBR,United Kingdom,2010,24.1
GBR,United Kingdom,2015,19.3
GBR,United Kingdom,2020,15.6
GBR,United Kingdom,2021,14.9
GBR,United Kingdom,2022,14.2
ISR,Israel,2000,31.2
ISR,Israel,2005,28.2
ISR,Israel,2007,27.1
ISR,Israel,2010,25.7
ISR,Israel,2015,23.2
ISR,Israel,2020,21.2
ISR,Israel,2021,20.7
ISR,Israel,2022,20.4
ITA,Italy,2000,26.1
ITA,Italy,2005,25.2
ITA,Italy,2007,24.8
ITA,Italy,2010,24.4
ITA,Italy,2015,23.5
ITA,Italy,2020,22.7
ITA,Italy,2021,22.6
ITA,Italy,2022,22.4
JPN,Japan,2000,33.6
JPN,Japan,2005,29.4
JPN,Japan,2007,27.9
JPN,Japan,2010,25.9
JPN,Japan,2015,22.8
JPN,Japan,2020,20.2
JPN,Japan,2021,19.6
JPN,Japan,2022,19.2
KOR,South Korea,2000,35.2
KOR,South Korea,2005,30.9
KOR,South Korea,2007,29.4
KOR,South Korea,2010,27.0
KOR,South Korea,2015,23.8
KOR,South Korea,2020,21.0
KOR,South Korea,2021,20.5
KOR,South Korea,2022,20.0
NLD,Netherlands,2000,34.5
NLD,Netherlands,2005,30.7
NLD,Netherlands,2007,29.5
NLD,Netherlands,2010,27.7
NLD,Netherlands,2015,24.7
NLD,Netherlands,2020,22.2
NLD,Netherlands,2021,21.7
NLD,Netherlands,2022,21.3
NOR,Norway,2000,44.9
NOR,Norway,2005,34.6
NOR,Norway,2007,31.2
NOR,Norway,2010,26.6
NOR,Norway,2015,20.5
NOR,Norway,2020,15.8
NOR,Norway,2021,15.0
NOR,Norway,2022,14.2
NZL,New Zealand,2000,30.4
NZL,New Zealand,2005,24.8
NZL,New Zealand,2007,22.7
NZL,New Zealand,2010,20.1
NZL,New Zealand,2015,16.4
NZL,New Zealand,2020,13.3
NZL,New Zealand,2021,12.8
NZL,New Zealand,2022,12.2
SWE,Sweden,2000,46.5
SWE,Sweden,2005,39.4
SWE,Sweden,2007,36.9
SWE,Sweden,2010,33.4
SWE,Sweden,2015,28.3
SWE,Sweden,2020,24.1
SWE,Sweden,2021,23.3
SWE,Sweden,2022,22.7
USA,United States,2000,31.5
USA,United States,2005,29.6
USA,United States,2007,29.0
USA,United States,2010,27.9
USA,United States,2015,26.3
USA,United States,2020,24.9
USA,United States,2021,24.7
USA,United States,2022,24.3
