country_code,year,avg_wage,country_name
AUS,1990,50892.868,Australia
AUS,1991,50677.312,Australia
AUS,1992,51712.364,Australia
AUS,1993,52196.067,Australia
AUS,1994,52549.161,Australia
AUS,1995,52360.833,Australia
AUS,1996,53869.802,Australia
AUS,1997,55551.459,Australia
AUS,1998,56354.75,Australia
AUS,1999,57635.74,Australia
AUS,2000,57806.507,Australia
AUS,2001,58378.557,Australia
AUS,2002,58909.737,Australia
AUS,2003,59748.167,Australia
AUS,2004,61629.11,Australia
AUS,2005,62347.376,Australia
AUS,2006,62769.154,Australia
AUS,2007,64500.872,Australia
AUS,2008,64995.647,Australia
AUS,2009,64406.029,Australia
AUS,2010,66705.582,Australia
AUS,2011,68914.944,Australia
AUS,2012,69392.868,Australia
AUS,2013,69189.387,Australia
AUS,2014,69877.669,Australia
AUS,2015,69464.852,Australia
AUS,2016,69806.581,Australia
AUS,2017,69579.169,Australia
AUS,2018,69832.234,Australia
AUS,2019,70501.846,Australia
AUS,2020,71915.394,Australia
AUS,2021,72716.686,Australia
AUS,2022,71109.992,Australia
AUS,2023,70422.098,Australia
AUS,2024,70736.187,Australia
CAN,1990,50296.678,Canada
CAN,1991,50486.547,Canada
CAN,1992,51223.562,Canada
CAN,1993,51112.61,Canada
CAN,1994,50531.712,Canada
CAN,1995,50418.618,Canada
CAN,1996,50865.853,Canada
CAN,1997,52423.11,Canada
CAN,1998,53303.15,Canada
CAN,1999,53736.393,Canada
CAN,2000,55365.75,Canada
CAN,2001,55137.869,Canada
CAN,2002,54693.461,Canada
CAN,2003,54710.38,Canada
CAN,2004,55892.446,Canada
CAN,2005,57506.9,Canada
CAN,2006,59258.083,Canada
CAN,2007,60840.573,Canada
CAN,2008,61908.661,Canada
CAN,2009,62311.323,Canada
CAN,2010,62422.417,Canada
CAN,2011,63173.717,Canada
CAN,2012,63921.863,Canada
CAN,2013,64599.0,Canada
CAN,2014,65442.989,Canada
CAN,2015,65924.573,Canada
CAN,2016,64675.087,Canada
CAN,2017,65726.977,Canada
CAN,2018,66959.594,Canada
CAN,2019,67227.517,Canada
CAN,2020,69662.78,Canada
CAN,2021,70001.671,Canada
CAN,2022,69304.208,Canada
CAN,2023,69299.313,Canada
CAN,2024,69417.073,Canada
CHE,1990,66080.519,Switzerland
CHE,1991,67253.133,Switzerland
CHE,1992,67831.203,Switzerland
CHE,1993,68568.756,Switzerland
CHE,1994,69416.716,Switzerland
CHE,1995,69463.041,Switzerland
CHE,1996,68613.834,Switzerland
CHE,1997,69846.791,Switzerland
CHE,1998,70054.013,Switzerland
CHE,1999,71330.314,Switzerland
CHE,2000,72385.662,Switzerland
CHE,2001,76408.724,Switzerland
CHE,2002,77948.301,Switzerland
CHE,2003,77556.657,Switzerland
CHE,2004,76996.722,Switzerland
CHE,2005,78204.109,Switzerland
CHE,2006,78428.306,Switzerland
CHE,2007,79355.894,Switzerland
CHE,2008,79783.509,Switzerland
CHE,2009,81197.456,Switzerland
CHE,2010,80823.349,Switzerland
CHE,2011,81342.649,Switzerland
CHE,2012,82526.691,Switzerland
CHE,2013,83599.467,Switzerland
CHE,2014,83762.274,Switzerland
CHE,2015,84264.574,Switzerland
CHE,2016,83965.905,Switzerland
CHE,2017,83569.001,Switzerland
CHE,2018,83328.535,Switzerland
CHE,2019,84911.132,Switzerland
CHE,2020,83154.689,Switzerland
CHE,2021,86386.832,Switzerland
CHE,2022,87339.04,Switzerland
CHE,2023,86535.328,Switzerland
CHE,2024,87468.235,Switzerland
DEU,1991,52244.077,Germany
DEU,1992,55449.141,Germany
DEU,1993,55814.289,Germany
DEU,1994,55937.213,Germany
DEU,1995,57123.151,Germany
DEU,1996,57779.129,Germany
DEU,1997,57535.082,Germany
DEU,1998,58239.551,Germany
DEU,1999,59014.326,Germany
DEU,2000,59354.424,Germany
DEU,2001,59787.697,Germany
DEU,2002,60138.883,Germany
DEU,2003,60338.681,Germany
DEU,2004,60330.633,Germany
DEU,2005,60548.73,Germany
DEU,2006,60537.007,Germany
DEU,2007,60353.389,Germany
DEU,2008,60623.392,Germany
DEU,2009,60635.353,Germany
DEU,2010,61167.671,Germany
DEU,2011,62400.788,Germany
DEU,2012,63233.321,Germany
DEU,2013,63828.7,Germany
DEU,2014,64898.733,Germany
DEU,2015,66389.948,Germany
DEU,2016,67409.631,Germany
DEU,2017,68117.688,Germany
DEU,2018,69070.405,Germany
DEU,2019,70225.225,Germany
DEU,2020,69750.812,Germany
DEU,2021,69828.515,Germany
DEU,2022,68225.562,Germany
DEU,2023,68104.229,Germany
DEU,2024,69433.062,Germany
DNK,1990,52189.762,Denmark
DNK,1991,52467.064,Denmark
DNK,1992,54234.914,Denmark
DNK,1993,54835.103,Denmark
DNK,1994,52928.463,Denmark
DNK,1995,54059.017,Denmark
DNK,1996,55023.721,Denmark
DNK,1997,55928.655,Denmark
DNK,1998,56891.276,Denmark
DNK,1999,57552.424,Denmark
DNK,2000,57499.691,Denmark
DNK,2001,57852.968,Denmark
DNK,2002,59175.544,Denmark
DNK,2003,60633.824,Denmark
DNK,2004,61976.35,Denmark
DNK,2005,63038.747,Denmark
DNK,2006,64102.136,Denmark
DNK,2007,64827.291,Denmark
DNK,2008,65677.609,Denmark
DNK,2009,66793.949,Denmark
DNK,2010,67451.721,Denmark
DNK,2011,67077.854,Denmark
DNK,2012,67055.86,Denmark
DNK,2013,67497.153,Denmark
DNK,2014,68871.256,Denmark
DNK,2015,69973.719,Denmark
DNK,2016,70638.756,Denmark
DNK,2017,71066.106,Denmark
DNK,2018,71592.006,Denmark
DNK,2019,72106.287,Denmark
DNK,2020,73125.234,Denmark
DNK,2021,73584.662,Denmark
DNK,2022,71149.429,Denmark
DNK,2023,71462.794,Denmark
DNK,2024,74021.697,Denmark
FIN,1990,45411.225,Finland
FIN,1991,45953.459,Finland
FIN,1992,45259.287,Finland
FIN,1993,43674.427,Finland
FIN,1994,44293.412,Finland
FIN,1995,46036.039,Finland
FIN,1996,47090.592,Finland
FIN,1997,47130.71,Finland
FIN,1998,48374.908,Finland
FIN,1999,49506.468,Finland
FIN,2000,50356.433,Finland
FIN,2001,50621.314,Finland
FIN,2002,50893.268,Finland
FIN,2003,51860.488,Finland
FIN,2004,57299.261,Finland
FIN,2005,54699.991,Finland
FIN,2006,55832.155,Finland
FIN,2007,56578.255,Finland
FIN,2008,57062.003,Finland
FIN,2009,57554.528,Finland
FIN,2010,58350.533,Finland
FIN,2011,58367.329,Finland
FIN,2012,58413.308,Finland
FIN,2013,57831.072,Finland
FIN,2014,57810.162,Finland
FIN,2015,58263.321,Finland
FIN,2016,58774.142,Finland
FIN,2017,58437.299,Finland
FIN,2018,58869.605,Finland
FIN,2019,59719.832,Finland
FIN,2020,60043.151,Finland
FIN,2021,62132.388,Finland
FIN,2022,60104.436,Finland
FIN,2023,59420.701,Finland
FIN,2024,59596.576,Finland
FRA,1990,45417.772,France
FRA,1991,45943.63,France
FRA,1992,46460.651,France
FRA,1993,46993.229,France
FRA,1994,47189.503,France
FRA,1995,47889.155,France
FRA,1996,48033.281,France
FRA,1997,48568.269,France
FRA,1998,49318.756,France
FRA,1999,50404.58,France
FRA,2000,50645.173,France
FRA,2001,50963.945,France
FRA,2002,52339.283,France
FRA,2003,52766.169,France
FRA,2004,53626.317,France
FRA,2005,54272.509,France
FRA,2006,54878.616,France
FRA,2007,55079.217,France
FRA,2008,54973.952,France
FRA,2009,56721.996,France
FRA,2010,57867.381,France
FRA,2011,57763.65,France
FRA,2012,58139.541,France
FRA,2013,58637.643,France
FRA,2014,59043.357,France
FRA,2015,59600.312,France
FRA,2016,60284.45,France
FRA,2017,61120.078,France
FRA,2018,61041.792,France
FRA,2019,61631.808,France
FRA,2020,58590.773,France
FRA,2021,60900.747,France
FRA,2022,61156.437,France
FRA,2023,60140.542,France
FRA,2024,60608.014,France
GBR,1990,42903.917,United Kingdom
GBR,1991,43012.58,United Kingdom
GBR,1992,43871.676,United Kingdom
GBR,1993,44586.841,United Kingdom
GBR,1994,45375.054,United Kingdom
GBR,1995,45386.18,United Kingdom
GBR,1996,45356.574,United Kingdom
GBR,1997,47104.556,United Kingdom
