year,geo,avg_weekly_wage
1997,Alberta,562.58
1997,British Columbia,612.55
1997,Canada,573.47
1997,Manitoba,509.66
1997,New Brunswick,489.12
1997,Newfoundland and Labrador,495.12
1997,Nova Scotia,479.88
1997,Ontario,605.82
1997,Prince Edward Island,440.93
1997,Quebec,548.85
1997,Saskatchewan,504.05
1998,Alberta,575.2
1998,British Columbia,620.99
1998,Canada,581.68
1998,Manitoba,518.03
1998,New Brunswick,498.52
1998,Newfoundland and Labrador,492.86
1998,Nova Scotia,494.76
1998,Ontario,612.62
1998,Prince Edward Island,447.86
1998,Quebec,557.6
1998,Saskatchewan,510.84
1999,Alberta,595.41
1999,British Columbia,628.12
1999,Canada,597.14
1999,Manitoba,532.98
1999,New Brunswick,506.83
1999,Newfoundland and Labrador,497.16
1999,Nova Scotia,505.43
1999,Ontario,634.16
1999,Prince Edward Island,464.24
1999,Quebec,566.66
1999,Saskatchewan,527.22
2000,Alberta,617.18
2000,British Columbia,639.18
2000,Canada,616.0
2000,Manitoba,551.93
2000,New Brunswick,533.63
2000,Newfoundland and Labrador,526.21
2000,Nova Scotia,524.43
2000,Ontario,656.69
2000,Prince Edward Island,473.82
2000,Quebec,580.02
2000,Saskatchewan,547.02
2001,Alberta,653.13
2001,British Columbia,648.27
2001,Canada,635.65
2001,Manitoba,561.84
2001,New Brunswick,537.96
2001,Newfoundland and Labrador,549.93
2001,Nova Scotia,543.16
2001,Ontario,678.55
2001,Prince Edward Island,495.29
2001,Quebec,596.15
2001,Saskatchewan,572.21
2002,Alberta,684.27
2002,British Columbia,668.48
2002,Canada,650.12
2002,Manitoba,574.75
2002,New Brunswick,548.06
2002,Newfoundland and Labrador,567.79
2002,Nova Scotia,558.32
2002,Ontario,690.04
2002,Prince Edward Island,508.62
2002,Quebec,606.12
2002,Saskatchewan,586.0
2003,Alberta,687.72
2003,British Columbia,683.79
2003,Canada,662.54
2003,Manitoba,588.99
2003,New Brunswick,561.34
2003,Newfoundland and Labrador,589.28
2003,Nova Scotia,573.31
2003,Ontario,701.52
2003,Prince Edward Island,538.59
2003,Quebec,619.15
2003,Saskatchewan,605.72
2004,Alberta,704.57
2004,British Columbia,687.32
2004,Canada,679.79
2004,Manitoba,613.7
2004,New Brunswick,572.91
2004,Newfoundland and Labrador,588.34
2004,Nova Scotia,588.81
2004,Ontario,720.26
2004,Prince Edward Island,563.34
2004,Quebec,641.26
2004,Saskatchewan,627.95
2005,Alberta,758.56
2005,British Columbia,704.05
2005,Canada,703.14
2005,Manitoba,625.93
2005,New Brunswick,591.2
2005,Newfoundland and Labrador,617.83
2005,Nova Scotia,608.23
2005,Ontario,743.63
2005,Prince Edward Island,561.75
2005,Quebec,656.66
2005,Saskatchewan,642.87
2006,Alberta,839.81
2006,British Columbia,738.96
2006,Canada,743.85
2006,Manitoba,654.37
2006,New Brunswick,623.53
2006,Newfoundland and Labrador,661.86
2006,Nova Scotia,631.87
2006,Ontario,783.44
2006,Prince Edward Island,595.21
2006,Quebec,684.18
2006,Saskatchewan,691.21
2007,Alberta,892.57
2007,British Columbia,771.37
2007,Canada,773.24
2007,Manitoba,687.73
2007,New Brunswick,656.82
2007,Newfoundland and Labrador,699.42
2007,Nova Scotia,665.57
2007,Ontario,807.28
