date,geography,population
1951-07-01,Alberta,943000.0
1951-10-01,Alberta,950000.0
1952-01-01,Alberta,959000.0
1952-04-01,Alberta,965000.0
1952-07-01,Alberta,977000.0
1952-10-01,Alberta,985000.0
1953-01-01,Alberta,994000.0
1953-04-01,Alberta,1002000.0
1953-07-01,Alberta,1016000.0
1953-10-01,Alberta,1029000.0
1954-01-01,Alberta,1039000.0
1954-04-01,Alberta,1047000.0
1954-07-01,Alberta,1061000.0
1954-10-01,Alberta,1070000.0
1955-01-01,Alberta,1078000.0
1955-04-01,Alberta,1084000.0
1955-07-01,Alberta,1094000.0
1955-10-01,Alberta,1102000.0
1956-01-01,Alberta,1109000.0
1956-04-01,Alberta,1118000.0
1956-07-01,Alberta,1126000.0
1956-10-01,Alberta,1136000.0
1957-01-01,Alberta,1144000.0
1957-04-01,Alberta,1153000.0
1957-07-01,Alberta,1169000.0
1957-10-01,Alberta,1179000.0
1958-01-01,Alberta,1191000.0
1958-04-01,Alberta,1198000.0
1958-07-01,Alberta,1211000.0
1958-10-01,Alberta,1221000.0
1959-01-01,Alberta,1233000.0
1959-04-01,Alberta,1241000.0
1959-07-01,Alberta,1252000.0
1959-10-01,Alberta,1263000.0
1960-01-01,Alberta,1274000.0
1960-04-01,Alberta,1282000.0
1960-07-01,Alberta,1296000.0
1960-10-01,Alberta,1307000.0
1961-01-01,Alberta,1317000.0
1961-04-01,Alberta,1325000.0
1961-07-01,Alberta,1335000.0
1961-10-01,Alberta,1345000.0
1962-01-01,Alberta,1356000.0
1962-04-01,Alberta,1363000.0
1962-07-01,Alberta,1373000.0
1962-10-01,Alberta,1382000.0
1963-01-01,Alberta,1391000.0
1963-04-01,Alberta,1398000.0
1963-07-01,Alberta,1407000.0
1963-10-01,Alberta,1414000.0
1964-01-01,Alberta,1419000.0
1964-04-01,Alberta,1425000.0
1964-07-01,Alberta,1431000.0
1964-10-01,Alberta,1436000.0
1965-01-01,Alberta,1443000.0
1965-04-01,Alberta,1445000.0
1965-07-01,Alberta,1451000.0
1965-10-01,Alberta,1453000.0
1966-01-01,Alberta,1456000.0
1966-04-01,Alberta,1459000.0
1966-07-01,Alberta,1465000.0
1966-10-01,Alberta,1470000.0
1967-01-01,Alberta,1476000.0
1967-04-01,Alberta,1483000.0
1967-07-01,Alberta,1493000.0
1967-10-01,Alberta,1501000.0
1968-01-01,Alberta,1510000.0
1968-04-01,Alberta,1518000.0
1968-07-01,Alberta,1527000.0
1968-10-01,Alberta,1536000.0
1969-01-01,Alberta,1546000.0
1969-04-01,Alberta,1553000.0
1969-07-01,Alberta,1562000.0
1969-10-01,Alberta,1571000.0
1970-01-01,Alberta,1579000.0
1970-04-01,Alberta,1589000.0
1970-07-01,Alberta,1597000.0
1970-10-01,Alberta,1607000.0
1971-01-01,Alberta,1616000.0
1971-04-01,Alberta,1623000.0
1971-07-01,Alberta,1665717.0
1971-10-01,Alberta,1675638.0
1972-01-01,Alberta,1679985.0
1972-04-01,Alberta,1686758.0
1972-07-01,Alberta,1694090.0
1972-10-01,Alberta,1705519.0
1973-01-01,Alberta,1710866.0
1973-04-01,Alberta,1717910.0
1973-07-01,Alberta,1725327.0
1973-10-01,Alberta,1735396.0
1974-01-01,Alberta,1739942.0
1974-04-01,Alberta,1746975.0
1974-07-01,Alberta,1754621.0
1974-10-01,Alberta,1769880.0
1975-01-01,Alberta,1782575.0
1975-04-01,Alberta,1795097.0
1975-07-01,Alberta,1808689.0
1975-10-01,Alberta,1825051.0
1976-01-01,Alberta,1839191.0
1976-04-01,Alberta,1852651.0
1976-07-01,Alberta,1869287.0
1976-10-01,Alberta,1896466.0
1977-01-01,Alberta,1914570.0
1977-04-01,Alberta,1931214.0
1977-07-01,Alberta,1948263.0
1977-10-01,Alberta,1974721.0
1978-01-01,Alberta,1991454.0
1978-04-01,Alberta,2006745.0
1978-07-01,Alberta,2022241.0
1978-10-01,Alberta,2047919.0
1979-01-01,Alberta,2064776.0
1979-04-01,Alberta,2079840.0
1979-07-01,Alberta,2096966.0
1979-10-01,Alberta,2128647.0
1980-01-01,Alberta,2149996.0
1980-04-01,Alberta,2168863.0
1980-07-01,Alberta,2191029.0
1980-10-01,Alberta,2227159.0
1981-01-01,Alberta,2249907.0
1981-04-01,Alberta,2270227.0
1981-07-01,Alberta,2291104.0
1981-10-01,Alberta,2319715.0
1982-01-01,Alberta,2337458.0
1982-04-01,Alberta,2352042.0
1982-07-01,Alberta,2369827.0
1982-10-01,Alberta,2378405.0
1983-01-01,Alberta,2383354.0
1983-04-01,Alberta,2388090.0
1983-07-01,Alberta,2393587.0
1983-10-01,Alberta,2394239.0
1984-01-01,Alberta,2394892.0
1984-04-01,Alberta,2396706.0
1984-07-01,Alberta,2393907.0
1984-10-01,Alberta,2390913.0
1985-01-01,Alberta,2395813.0
1985-04-01,Alberta,2401499.0
1985-07-01,Alberta,2404490.0
1985-10-01,Alberta,2407001.0
1986-01-01,Alberta,2415590.0
1986-04-01,Alberta,2424950.0
1986-07-01,Alberta,2432930.0
