period,sector,share
2026-03,Real estate,13.24
2026-03,Manufacturing,8.49
2026-03,Health & social assistance,8.19
2026-03,Finance & insurance,7.74
2026-03,Professional & scientific,7.19
2026-03,Public administration,7.19
2026-03,Construction,7.11
2026-03,Wholesale trade,5.5
2026-03,Retail trade,5.35
2026-03,Education,5.27
2026-03,"Mining, oil & gas",5.1
2026-03,Transportation & warehousing,4.53
2026-03,Information & culture,3.56
2026-03,Admin & support,2.6
2026-03,Accommodation & food,2.25
2026-03,Utilities,2.05
2026-03,Agriculture & forestry,1.95
2026-03,Other services,1.92
2026-03,Arts & recreation,0.84
2026-03,Management of companies,0.03
